roi_index,roi_label,n_weighted_voxels,roi_percentile,weight_threshold
1,Temporal_L,1327,90.0,0.00035733996281983593
2,Temporal_R,873,90.0,0.00035733996281983593
3,Parietal_L,489,90.0,0.00035733996281983593
4,Parietal_R,653,90.0,0.00035733996281983593
5,Frontal_L,618,90.0,0.00035733996281983593
6,Frontal_R,311,90.0,0.00035733996281983593
7,Cerebellum_L,199,90.0,0.00035733996281983593
8,Cerebellum_R,411,90.0,0.00035733996281983593
9,Orbitofrontal_L,418,90.0,0.00035733996281983593
10,Orbitofrontal_R,228,90.0,0.00035733996281983593
11,ParaHippocampal_L,214,90.0,0.00035733996281983593
12,ParaHippocampal_R,234,90.0,0.00035733996281983593
13,Precentral_L,246,90.0,0.00035733996281983593
14,Precentral_R,105,90.0,0.00035733996281983593
15,Fusiform_L,191,90.0,0.00035733996281983593
16,Fusiform_R,157,90.0,0.00035733996281983593
17,Supp_Motor_Area_L,143,90.0,0.00035733996281983593
18,Supp_Motor_Area_R,175,90.0,0.00035733996281983593
19,Occipital_L,67,90.0,0.00035733996281983593
20,Occipital_R,226,90.0,0.00035733996281983593
21,Postcentral_L,224,90.0,0.00035733996281983593
22,Postcentral_R,23,90.0,0.00035733996281983593
23,Caudate_L,173,90.0,0.00035733996281983593
24,Caudate_R,44,90.0,0.00035733996281983593
25,Paracentral_Lobule_L,132,90.0,0.00035733996281983593
26,Paracentral_Lobule_R,57,90.0,0.00035733996281983593
27,Hippocampus_L,62,90.0,0.00035733996281983593
28,Hippocampus_R,111,90.0,0.00035733996281983593
29,Putamen_L,119,90.0,0.00035733996281983593
30,Putamen_R,35,90.0,0.00035733996281983593
31,Amygdala_L,74,90.0,0.00035733996281983593
32,Amygdala_R,36,90.0,0.00035733996281983593
33,Olfactory_L,36,90.0,0.00035733996281983593
34,Olfactory_R,9,90.0,0.00035733996281983593
35,Thalamus_L,33,90.0,0.00035733996281983593
36,Thalamus_R,10,90.0,0.00035733996281983593
37,Cingulate_L,10,90.0,0.00035733996281983593
38,Cingulate_R,30,90.0,0.00035733996281983593
