roi_label,n_selected_voxels,roi_weight_sum,roi_weight_min,roi_weight_max,roi_weight_mean
Amygdala_L,74,0.03333656518664618,0.0003584090131241169,0.0005492410915142187,0.00045049412414386735
Amygdala_R,36,0.016145536791757564,0.0003652324576588484,0.0006006742894868466,0.00044848713310437677
Caudate_L,173,0.08614951115754366,0.00035908211887125674,0.0006667970305294091,0.0004979740529337783
Caudate_R,44,0.018063571415460444,0.0003597684227703013,0.0005138172518019957,0.0004105357139877374
Cerebellum_L,199,0.08594406872499505,0.00035830342790887926,0.0007224932315672561,0.00043187974233665854
Cerebellum_R,411,0.17062272504167098,0.0003575643314022159,0.00057096524954936,0.00041514045022304373
Cingulate_L,10,0.004050895565958612,0.0003583826168203075,0.0004605231144108046,0.0004050895565958612
Cingulate_R,30,0.013602041749290805,0.00036087706753029636,0.0006857759729683721,0.00045340139164302685
Frontal_L,618,0.29160770229952604,0.00035733996281983593,0.000750143359807609,0.0004718571234620162
Frontal_R,311,0.1447615666975448,0.00035747194433888296,0.0006490059217618693,0.0004654712755548065
Fusiform_L,191,0.09541324118684713,0.00035736635912364534,0.0007527038012771214,0.000499545765376163
Fusiform_R,157,0.07229691569249397,0.0003576303221617394,0.000653823247207086,0.00046048990886938835
Hippocampus_L,62,0.025658197164135643,0.0003576699166174535,0.0005602615483546458,0.0004138418897441233
Hippocampus_R,111,0.04656251239926057,0.00035868617431411565,0.0005334561018361939,0.00041948209368703214
Occipital_L,67,0.028179862463352023,0.00035743234988316885,0.0006045941406025435,0.00042059496213958246
Occipital_R,226,0.0978924876258418,0.00035739275542745474,0.0006048976980963516,0.00043315260011434425
Olfactory_L,36,0.013927719345691258,0.0003584618057317357,0.0004475625292403862,0.0003868810929358683
Olfactory_R,9,0.003459671153235533,0.0003640314258355204,0.0004185397932019441,0.0003844079059150592
Orbitofrontal_L,418,0.18928543976099732,0.0003575643314022159,0.000615548606683447,0.0004528359802894673
Orbitofrontal_R,228,0.09416279548278794,0.00035832982421268866,0.0005797288224140829,0.0004129947170297717
ParaHippocampal_L,214,0.10337742838700592,0.0003594384689726837,0.000638975326314295,0.0004830720952663828
ParaHippocampal_R,234,0.11398329168165056,0.00035778869998459584,0.0007082128312063674,0.00048710808410961775
Paracentral_Lobule_L,132,0.05582480383000643,0.00035863338170649683,0.0005835826827702562,0.00042291518053035173
Paracentral_Lobule_R,57,0.02430988716370308,0.00035954405418792135,0.000535937354394278,0.000426489248486019
Parietal_L,489,0.20374883249804476,0.00035733996281983593,0.0006097546179972824,0.00041666427913710587
Parietal_R,653,0.30205859289450565,0.0003577227092250723,0.0007200119790091719,0.00046257058636218324
Postcentral_L,224,0.09790364006420127,0.00035741915173126415,0.0006857759729683721,0.00043706982171518423
Postcentral_R,23,0.009000532484019885,0.0003579470778074523,0.0004557849778770162,0.0003913274993052124
Precentral_L,246,0.1078522617902955,0.00035835622051649807,0.0006794936526617334,0.00043842382841583535
Precentral_R,105,0.046959367628883086,0.0003606658970998211,0.0006508140685728137,0.0004472320726560294
Putamen_L,119,0.04870177444519008,0.000359781620922206,0.000519980788741492,0.00040925860878310993
Putamen_R,35,0.014118788990815645,0.00035745874618697826,0.0005045521491648941,0.00040339397116616126
Supp_Motor_Area_L,143,0.061550096135507104,0.00035736635912364534,0.0006599471896908682,0.00043042025269585387
Supp_Motor_Area_R,175,0.07847458785268024,0.0003575247369465018,0.0006857759729683721,0.00044842621630102996
Temporal_L,1327,0.6340252934516766,0.00035736635912364534,0.000783838241620316,0.00047778846529892736
Temporal_R,873,0.42354958729638703,0.00035748514249078767,0.0007353350333705322,0.0004851656211871558
Thalamus_L,33,0.013258916196072335,0.00035836941866840277,0.000532558627506674,0.00040178533927491924
Thalamus_R,10,0.0036584749153760754,0.00035826383345316515,0.0003820205068816307,0.00036584749153760753
