roi_name,roi_source,matched_labels,priority_roi_voxels,roi_membership,has_same_voxel_overlap,vigour_network_voxels,vigour_network_pct,task_activation_voxels,task_activation_pct,union_voxels,union_pct,vigour_only_voxels,vigour_only_pct_of_vigour_only,task_only_voxels,task_only_pct_of_task_only,both_voxels,both_pct_of_overlap,vigour_only_pct_of_roi,task_only_pct_of_roi,both_pct_of_roi,vigour_network_pct_of_roi,task_activation_pct_of_roi,union_pct_of_roi,overlap_pct_of_vigour_in_roi,overlap_pct_of_task_in_roi,x_mm,y_mm,z_mm
Parietal,AAL3v2 (AAL3v1.nii); Harvard-Oxford cortical maxprob-thr25 fill after AAL3; Nearest-label fill for atlas-uncovered selected voxels,"Parietal_Sup_L;Parietal_Sup_R;Parietal_Inf_L;Parietal_Inf_R;SupraMarginal_L;SupraMarginal_R;Angular_L;Angular_R;Precuneus_L;Precuneus_R; Superior Parietal Lobule; Supramarginal Gyrus, anterior division; Supramarginal Gyrus, posterior division; Angular Gyrus; Precuneous Cortex; Parietal Opercular Cortex; nearest atlas label for uncovered selected voxels",18017,both_maps,True,658,0.11045828437132785,4352,0.201388246182323,4959,0.18323233816139523,607,0.11129446277961129,4301,0.2037712607191927,51,0.10139165009940358,0.03369040350779819,0.2387189876228007,0.002830659932286174,0.036521063440084364,0.24154964755508687,0.27524005106288507,0.07750759878419453,0.01171875,5.599919338576326,-48.275862068965516,46.809840693688244
Cerebellum,AAL3v2 (AAL3v1.nii); Nearest-label fill for atlas-uncovered selected voxels,Cerebellum_Crus1_L;Cerebellum_Crus1_R;Cerebellum_Crus2_L;Cerebellum_Crus2_R;Cerebellum_3_L;Cerebellum_3_R;Cerebellum_4_5_L;Cerebellum_4_5_R;Cerebellum_6_L;Cerebellum_6_R;Cerebellum_7b_L;Cerebellum_7b_R;Cerebellum_8_L;Cerebellum_8_R;Cerebellum_9_L;Cerebellum_9_R;Cerebellum_10_L;Cerebellum_10_R;Vermis_1_2;Vermis_3;Vermis_4_5;Vermis_6;Vermis_7;Vermis_8;Vermis_9;Vermis_10; nearest atlas label for uncovered selected voxels,22850,both_maps,True,475,0.07973812321638409,4259,0.1970846830171217,4509,0.16660508424475318,250,0.04583791712504584,4034,0.19112142890984032,225,0.44731610337972166,0.010940919037199124,0.17654266958424508,0.009846827133479213,0.020787746170678335,0.18638949671772428,0.1973304157549234,0.47368421052631576,0.05282930265320498,-3.684630738522954,-55.55023286759814,-34.4222665779552
Temporal,AAL3v2 (AAL3v1.nii); Harvard-Oxford cortical maxprob-thr25 fill after AAL3,"Heschl_L;Heschl_R;Temporal_Sup_L;Temporal_Sup_R;Temporal_Pole_Sup_L;Temporal_Pole_Sup_R;Temporal_Mid_L;Temporal_Mid_R;Temporal_Pole_Mid_L;Temporal_Pole_Mid_R;Temporal_Inf_L;Temporal_Inf_R; Temporal Pole; Superior Temporal Gyrus, posterior division; Middle Temporal Gyrus, anterior division; Middle Temporal Gyrus, posterior division; Inferior Temporal Gyrus, anterior division; Inferior Temporal Gyrus, posterior division; Planum Polare; Heschl's Gyrus (includes H1 and H2); Planum Temporale",23806,both_maps,True,1777,0.29830451569582006,2015,0.09324386857936141,3784,0.13981673071238546,1769,0.32434910157682434,2007,0.09508693798265978,8,0.015904572564612324,0.07430899773166429,0.08430647735864907,0.0003360497353608334,0.07464504746702512,0.08464252709400992,0.1589515248256742,0.004501969611705121,0.003970223325062035,1.1448202959830867,-36.72885835095138,-10.427589852008456
Occipital,AAL3v2 (AAL3v1.nii); Harvard-Oxford cortical maxprob-thr25 fill after AAL3,"Calcarine_L;Calcarine_R;Cuneus_L;Cuneus_R;Lingual_L;Lingual_R;Occipital_Sup_L;Occipital_Sup_R;Occipital_Mid_L;Occipital_Mid_R;Occipital_Inf_L;Occipital_Inf_R; Middle Temporal Gyrus, temporooccipital part; Inferior Temporal Gyrus, temporooccipital part; Lateral Occipital Cortex, superior division; Lateral Occipital Cortex, inferior division; Cuneal Cortex; Lingual Gyrus; Supracalcarine Cortex; Occipital Pole",18154,both_maps,True,153,0.02568406916233003,3538,0.16372049976862563,3627,0.1340156665681348,89,0.01631829849651632,3474,0.16458994646325864,64,0.1272365805168986,0.004902500826264184,0.19136278506114354,0.0035253938525944693,0.008427894678858653,0.19488817891373802,0.1997906797400022,0.41830065359477125,0.018089315997738834,-3.4833195478356767,-80.11028398125173,7.325062034739454
Frontal,AAL3v2 (AAL3v1.nii); Harvard-Oxford cortical maxprob-thr25 fill after AAL3,"Frontal_Sup_2_L;Frontal_Sup_2_R;Frontal_Mid_2_L;Frontal_Mid_2_R;Frontal_Inf_Oper_L;Frontal_Inf_Oper_R;Frontal_Inf_Tri_L;Frontal_Inf_Tri_R;Frontal_Inf_Orb_2_L;Frontal_Inf_Orb_2_R;Frontal_Sup_Medial_L;Frontal_Sup_Medial_R;Frontal_Med_Orb_L;Frontal_Med_Orb_R; Frontal Pole; Superior Frontal Gyrus; Middle Frontal Gyrus; Inferior Frontal Gyrus, pars opercularis; Frontal Medial Cortex; Subcallosal Cortex; Frontal Opercular Cortex; Central Opercular Cortex",29354,both_maps,False,632,0.10609367131106262,1258,0.05821378991207774,1890,0.06983446644989655,632,0.11587825449211588,1258,0.059601080210356754,0,0.0,0.021530285480684065,0.042856169516931254,0.0,0.021530285480684065,0.042856169516931254,0.06438645499761532,0.0,0.0,21.79047619047619,28.853968253968254,26.3015873015873
Postcentral,AAL3v2 (AAL3v1.nii); Harvard-Oxford cortical maxprob-thr25 fill after AAL3,Postcentral_L;Postcentral_R; Postcentral Gyrus,6866,both_maps,True,70,0.011750881316098707,1679,0.07769551133734383,1729,0.0638856044930535,50,0.009167583425009167,1659,0.0785995167479983,20,0.039761431411530816,0.007282260413632392,0.24162540052432274,0.0029129041654529565,0.010195164579085349,0.2445383046897757,0.2518205651034081,0.2857142857142857,0.011911852293031567,2.763447079236553,-24.304222093695778,44.9358010410642
Fusiform,AAL3v2 (AAL3v1.nii); Harvard-Oxford cortical maxprob-thr25 fill after AAL3; Nearest-label fill for atlas-uncovered selected voxels,"Fusiform_L;Fusiform_R; Temporal Fusiform Cortex, anterior division; Temporal Fusiform Cortex, posterior division; Occipital Fusiform Gyrus; nearest atlas label for uncovered selected voxels",4443,both_maps,True,303,0.05086452912539869,979,0.045303100416473854,1273,0.04703665385752291,294,0.0539053905390539,970,0.045956317809257595,9,0.017892644135188866,0.0661715057393653,0.2183209543101508,0.002025658338960162,0.06819716407832546,0.22034661264911096,0.28651811838847624,0.0297029702970297,0.009193054136874362,3.107619795758052,-49.59937156323645,-20.304791830322074
Insula,AAL3v2 (AAL3v1.nii); Harvard-Oxford cortical maxprob-thr25 fill after AAL3,Insula_L;Insula_R; Insular Cortex,3529,both_maps,False,13,0.0021823065301326172,908,0.042017584451642755,921,0.034030446349394027,13,0.0023835716905023837,908,0.04301890368124319,0,0.0,0.0036837631056956645,0.2572966846132049,0.0,0.0036837631056956645,0.2572966846132049,0.26098044771890055,0.0,0.0,5.522258414766558,5.331161780673181,-0.5407166123778502
Cingulate,AAL3v2 (AAL3v1.nii); Harvard-Oxford cortical maxprob-thr25 fill after AAL3,"Cingulate_Mid_L;Cingulate_Mid_R;Cingulate_Post_L;Cingulate_Post_R;ACC_sub_L;ACC_sub_R;ACC_pre_L;ACC_pre_R;ACC_sup_L;ACC_sup_R; Paracingulate Gyrus; Cingulate Gyrus, anterior division; Cingulate Gyrus, posterior division",5671,both_maps,False,20,0.0033573946617424877,724,0.033503007866728364,744,0.027490393142181494,20,0.003667033370003667,724,0.03430141659165206,0,0.0,0.0035267148651031564,0.12766707811673425,0.0,0.0035267148651031564,0.12766707811673425,0.13119379298183742,0.0,0.0,0.8010752688172043,-6.486559139784946,35.16129032258065
Putamen,AAL3v2 (AAL3v1.nii); Harvard-Oxford subcortical maxprob-thr25 fill after AAL3,Putamen_L;Putamen_R; Left Putamen; Right Putamen,1492,both_maps,True,112,0.01880141010575793,710,0.03285515964831097,732,0.027046999704404374,22,0.004033736707004034,620,0.02937414128014403,90,0.17892644135188868,0.014745308310991957,0.4155495978552279,0.06032171581769437,0.07506702412868632,0.47587131367292224,0.4906166219839142,0.8035714285714286,0.1267605633802817,-10.8551912568306,-4.497267759562842,2.407103825136612
