roi_name,roi_total_voxels,vigour_only_voxels,vigour_only_pct_of_roi,task_only_voxels,task_only_pct_of_roi,same_voxel_overlap_voxels,same_voxel_overlap_pct_of_roi,vigour_total_voxels,vigour_network_pct_of_roi,task_total_voxels,task_activation_pct_of_roi,union_voxels,selected_union_pct_of_roi,roi_status
Parietal,18017,607,0.03369040350779819,4301,0.2387189876228007,51,0.002830659932286174,658,0.036521063440084364,4352,0.24154964755508687,4959,0.27524005106288507,Shared voxels present
Cerebellum,22850,250,0.010940919037199124,4034,0.17654266958424508,225,0.009846827133479213,475,0.020787746170678335,4259,0.18638949671772428,4509,0.1973304157549234,Shared voxels present
Temporal,23806,1769,0.07430899773166429,2007,0.08430647735864907,8,0.0003360497353608334,1777,0.07464504746702512,2015,0.08464252709400992,3784,0.1589515248256742,Shared voxels present
Occipital,18154,89,0.004902500826264184,3474,0.19136278506114354,64,0.0035253938525944693,153,0.008427894678858653,3538,0.19488817891373802,3627,0.1997906797400022,Shared voxels present
Frontal,29354,632,0.021530285480684065,1258,0.042856169516931254,0,0.0,632,0.021530285480684065,1258,0.042856169516931254,1890,0.06438645499761532,"Both maps in ROI, no shared voxels"
Postcentral,6866,50,0.007282260413632392,1659,0.24162540052432274,20,0.0029129041654529565,70,0.010195164579085349,1679,0.2445383046897757,1729,0.2518205651034081,Shared voxels present
Fusiform,4443,294,0.0661715057393653,970,0.2183209543101508,9,0.002025658338960162,303,0.06819716407832546,979,0.22034661264911096,1273,0.28651811838847624,Shared voxels present
Insula,3529,13,0.0036837631056956645,908,0.2572966846132049,0,0.0,13,0.0036837631056956645,908,0.2572966846132049,921,0.26098044771890055,"Both maps in ROI, no shared voxels"
Cingulate,5671,20,0.0035267148651031564,724,0.12766707811673425,0,0.0,20,0.0035267148651031564,724,0.12766707811673425,744,0.13119379298183742,"Both maps in ROI, no shared voxels"
Putamen,1492,22,0.014745308310991957,620,0.4155495978552279,90,0.06032171581769437,112,0.07506702412868632,710,0.47587131367292224,732,0.4906166219839142,Shared voxels present
Precentral,5633,225,0.039943191904846444,420,0.07456062488904669,15,0.002662879460323096,240,0.042606071365169536,435,0.07722350434936978,660,0.11716669625421623,Shared voxels present
Orbitofrontal,4686,466,0.09944515578318396,15,0.003201024327784891,0,0.0,466,0.09944515578318396,15,0.003201024327784891,481,0.10264618011096885,"Both maps in ROI, no shared voxels"
Supp_Motor_Area,3394,282,0.08308780200353565,41,0.012080141426045963,2,0.0005892751915144372,284,0.08367707719505009,43,0.012669416617560401,325,0.09575721862109605,Shared voxels present
ParaHippocampal,1332,278,0.2087087087087087,5,0.0037537537537537537,0,0.0,278,0.2087087087087087,5,0.0037537537537537537,283,0.21246246246246248,"Both maps in ROI, no shared voxels"
Paracentral_Lobule,1616,127,0.07858910891089109,103,0.06373762376237624,19,0.011757425742574257,146,0.09034653465346534,122,0.07549504950495049,249,0.15408415841584158,Shared voxels present
Rolandic_Oper,1892,3,0.0015856236786469344,239,0.1263213530655391,0,0.0,3,0.0015856236786469344,239,0.1263213530655391,242,0.12790697674418605,"Both maps in ROI, no shared voxels"
Pallidum,523,2,0.0038240917782026767,171,0.32695984703632885,0,0.0,2,0.0038240917782026767,171,0.32695984703632885,173,0.33078393881453155,"Both maps in ROI, no shared voxels"
Caudate,1205,121,0.1004149377593361,0,0.0,0,0.0,121,0.1004149377593361,0,0.0,121,0.1004149377593361,Vigour network only in ROI
Hippocampus,1088,66,0.06066176470588235,29,0.02665441176470588,0,0.0,66,0.06066176470588235,29,0.02665441176470588,95,0.08731617647058823,"Both maps in ROI, no shared voxels"
Amygdala,411,86,0.20924574209245742,0,0.0,0,0.0,86,0.20924574209245742,0,0.0,86,0.20924574209245742,Vigour network only in ROI
Cerebral_Cortex,3522,7,0.0019875070982396364,72,0.020442930153321975,0,0.0,7,0.0019875070982396364,72,0.020442930153321975,79,0.022430437251561613,"Both maps in ROI, no shared voxels"
Thalamus,740,9,0.012162162162162163,57,0.07702702702702703,0,0.0,9,0.012162162162162163,57,0.07702702702702703,66,0.0891891891891892,"Both maps in ROI, no shared voxels"
Olfactory,460,36,0.0782608695652174,0,0.0,0,0.0,36,0.0782608695652174,0,0.0,36,0.0782608695652174,Vigour network only in ROI
