roi_name,roi_source,matched_labels,priority_roi_voxels,roi_membership,has_same_voxel_overlap,vigour_network_voxels,vigour_network_pct,task_activation_voxels,task_activation_pct,union_voxels,union_pct,vigour_only_voxels,vigour_only_pct_of_vigour_only,task_only_voxels,task_only_pct_of_task_only,both_voxels,both_pct_of_overlap,vigour_only_pct_of_roi,task_only_pct_of_roi,both_pct_of_roi,vigour_network_pct_of_roi,task_activation_pct_of_roi,union_pct_of_roi,overlap_pct_of_vigour_in_roi,overlap_pct_of_task_in_roi,x_mm,y_mm,z_mm
Postcentral,AAL3v2 (AAL3v1.nii),Postcentral_L; Postcentral_R,6689,both_maps,True,66,0.011079402383750209,1660,0.07681628875520592,1707,0.06307271652379545,47,0.008617528419508618,1641,0.0777467190979296,19,0.03777335984095427,0.007026461354462551,0.24532815069517117,0.0028404843773359245,0.009866945731798474,0.2481686350725071,0.25519509642696964,0.2878787878787879,0.01144578313253012,3.129466900995899,-24.283538371411833,44.934973637961335
Occipital_Mid,AAL3v2 (AAL3v1.nii),Occipital_Mid_L; Occipital_Mid_R,3954,both_maps,True,106,0.017794191707235184,1550,0.07172605275335493,1597,0.059008276677505175,47,0.008617528419508618,1491,0.07064007201402378,59,0.1172962226640159,0.011886697015680323,0.37708649468892264,0.014921598381385938,0.02680829539706626,0.39200809307030854,0.4038947900859889,0.5566037735849056,0.03806451612903226,-5.194740137758297,-81.49279899812147,12.407013149655604
Temporal_Inf,AAL3v2 (AAL3v1.nii),Temporal_Inf_L; Temporal_Inf_R,5894,both_maps,True,957,0.16065133456437805,614,0.02841277186487737,1568,0.057936742536210464,954,0.17491749174917492,611,0.028947742455109678,3,0.005964214711729622,0.16185951815405497,0.10366474380726162,0.0005089921954530031,0.16236851034950797,0.10417373600271462,0.2660332541567696,0.003134796238244514,0.004885993485342019,9.998724489795919,-37.704081632653065,-19.849489795918366
Cerebellum_6,AAL3v2 (AAL3v1.nii); Nearest-label fill for atlas-uncovered selected voxels,Cerebellum_6_L; Cerebellum_6_R; nearest atlas label for uncovered selected voxels,3762,both_maps,True,192,0.03223098875272788,1356,0.06274872744099953,1458,0.05387230268992019,102,0.0187018701870187,1266,0.059980101388165064,90,0.17892644135188868,0.02711323763955343,0.3365231259968102,0.023923444976076555,0.051036682615629984,0.36044657097288674,0.3875598086124402,0.46875,0.06637168141592921,1.9176954732510287,-58.508916323731135,-26.598079561042525
SupraMarginal,AAL3v2 (AAL3v1.nii); Nearest-label fill for atlas-uncovered selected voxels,SupraMarginal_L; SupraMarginal_R; nearest atlas label for uncovered selected voxels,2627,both_maps,False,30,0.005036091992613732,1306,0.06043498380379454,1336,0.04936446940585279,30,0.005500550055005501,1306,0.06187520727720661,0,0.0,0.011419870574800152,0.4971450323563,0.0,0.011419870574800152,0.4971450323563,0.5085649029311001,0.0,0.0,18.538922155688624,-29.315868263473053,30.7874251497006
Cerebellum_8,AAL3v2 (AAL3v1.nii); Nearest-label fill for atlas-uncovered selected voxels,Cerebellum_8_L; Cerebellum_8_R; nearest atlas label for uncovered selected voxels,4286,both_maps,True,139,0.02333389289911029,1266,0.05858398889403054,1307,0.048292935264558086,41,0.007517418408507517,1168,0.05533709196001327,98,0.19483101391650098,0.009566028931404572,0.27251516565562295,0.022865142323845077,0.03243117125524965,0.295380307979468,0.3049463369108726,0.7050359712230215,0.07740916271721959,-16.192807957153786,-53.25937260902831,-50.11935730680949
Temporal_Mid,AAL3v2 (AAL3v1.nii),Temporal_Mid_L; Temporal_Mid_R,7731,both_maps,False,308,0.05170387779083431,987,0.04567329939842665,1295,0.047849541826780966,308,0.05647231389805647,987,0.04676173781210025,0,0.0,0.03983960677790713,0.12766783081102057,0.0,0.03983960677790713,0.12766783081102057,0.1675074375889277,0.0,0.0,0.18223938223938224,-54.31505791505791,0.27953667953667954
Fusiform,AAL3v2 (AAL3v1.nii),Fusiform_L; Fusiform_R,4141,both_maps,True,285,0.04784287392983045,974,0.04507172605275336,1250,0.04618681643511676,276,0.050605060506050605,965,0.0457194295731274,9,0.017892644135188866,0.06665056749577397,0.23303549867181841,0.0021733880705143687,0.06882395556628834,0.23520888674233276,0.30185945423810673,0.031578947368421054,0.009240246406570842,3.1408,-50.1968,-19.9392
Parietal_Sup,AAL3v2 (AAL3v1.nii),Parietal_Sup_L; Parietal_Sup_R,3865,both_maps,True,285,0.04784287392983045,982,0.045441925034706156,1228,0.04537392846585871,246,0.045104510451045104,943,0.044677121334154545,39,0.0775347912524851,0.06364812419146183,0.24398447606727036,0.010090556274256144,0.07373868046571798,0.2540750323415265,0.3177231565329884,0.1368421052631579,0.03971486761710794,6.3827361563517915,-60.5928338762215,57.75407166123779
Precuneus,AAL3v2 (AAL3v1.nii),Precuneus_L; Precuneus_R,5313,both_maps,True,32,0.00537183145878798,1085,0.05020823692734845,1105,0.04082914572864322,20,0.003667033370003667,1073,0.05083621547353959,12,0.02385685884691849,0.003764351590438547,0.20195746282702803,0.002258610954263128,0.006022962544701675,0.20421607378129117,0.20798042537172973,0.375,0.011059907834101382,1.3158371040723982,-59.42262443438914,54.97918552036199
