roi_name,roi_total_voxels,vigour_only_voxels,vigour_only_pct_of_roi,task_only_voxels,task_only_pct_of_roi,same_voxel_overlap_voxels,same_voxel_overlap_pct_of_roi,vigour_total_voxels,vigour_network_pct_of_roi,task_total_voxels,task_activation_pct_of_roi,union_voxels,selected_union_pct_of_roi,roi_status
Postcentral,6689,47,0.007026461354462551,1641,0.24532815069517117,19,0.0028404843773359245,66,0.009866945731798474,1660,0.2481686350725071,1707,0.25519509642696964,Shared voxels present
Occipital_Mid,3954,47,0.011886697015680323,1491,0.37708649468892264,59,0.014921598381385938,106,0.02680829539706626,1550,0.39200809307030854,1597,0.4038947900859889,Shared voxels present
Temporal_Inf,5894,954,0.16185951815405497,611,0.10366474380726162,3,0.0005089921954530031,957,0.16236851034950797,614,0.10417373600271462,1568,0.2660332541567696,Shared voxels present
Cerebellum_6,3762,102,0.02711323763955343,1266,0.3365231259968102,90,0.023923444976076555,192,0.051036682615629984,1356,0.36044657097288674,1458,0.3875598086124402,Shared voxels present
SupraMarginal,2627,30,0.011419870574800152,1306,0.4971450323563,0,0.0,30,0.011419870574800152,1306,0.4971450323563,1336,0.5085649029311001,"Both maps in ROI, no shared voxels"
Cerebellum_8,4286,41,0.009566028931404572,1168,0.27251516565562295,98,0.022865142323845077,139,0.03243117125524965,1266,0.295380307979468,1307,0.3049463369108726,Shared voxels present
Temporal_Mid,7731,308,0.03983960677790713,987,0.12766783081102057,0,0.0,308,0.03983960677790713,987,0.12766783081102057,1295,0.1675074375889277,"Both maps in ROI, no shared voxels"
Fusiform,4141,276,0.06665056749577397,965,0.23303549867181841,9,0.0021733880705143687,285,0.06882395556628834,974,0.23520888674233276,1250,0.30185945423810673,Shared voxels present
Parietal_Sup,3865,246,0.06364812419146183,943,0.24398447606727036,39,0.010090556274256144,285,0.07373868046571798,982,0.2540750323415265,1228,0.3177231565329884,Shared voxels present
Precuneus,5313,20,0.003764351590438547,1073,0.20195746282702803,12,0.002258610954263128,32,0.006022962544701675,1085,0.20421607378129117,1105,0.20798042537172973,Shared voxels present
Parietal_Inf,3411,123,0.03605980650835532,876,0.256816182937555,0,0.0,123,0.03605980650835532,876,0.256816182937555,999,0.2928759894459103,"Both maps in ROI, no shared voxels"
Insula,3190,13,0.0040752351097178684,770,0.2413793103448276,0,0.0,13,0.0040752351097178684,770,0.2413793103448276,783,0.24545454545454545,"Both maps in ROI, no shared voxels"
Frontal_Mid_2,7759,231,0.02977187781930661,539,0.06946771491171543,0,0.0,231,0.02977187781930661,539,0.06946771491171543,770,0.09923959273102204,"Both maps in ROI, no shared voxels"
Putamen,1492,22,0.014745308310991957,620,0.4155495978552279,90,0.06032171581769437,112,0.07506702412868632,710,0.47587131367292224,732,0.4906166219839142,Shared voxels present
Occipital_Inf,1575,0,0.0,714,0.4533333333333333,0,0.0,0,0.0,714,0.4533333333333333,714,0.4533333333333333,Task activation network only in ROI
Precentral,5453,218,0.039977993764900056,410,0.07518796992481203,15,0.002750779387493123,233,0.04272877315239318,425,0.07793874931230516,643,0.1179167430772052,Shared voxels present
Cingulate_Mid,3093,12,0.0038797284190106693,554,0.17911412867765922,0,0.0,12,0.0038797284190106693,554,0.17911412867765922,566,0.1829938570966699,"Both maps in ROI, no shared voxels"
Cerebellum_4_5,1109,2,0.0018034265103697023,509,0.45897204688908927,6,0.005410279531109108,8,0.007213706041478809,515,0.4643823264201984,517,0.4661857529305681,Shared voxels present
Lingual,3031,0,0.0,462,0.15242494226327943,0,0.0,0,0.0,462,0.15242494226327943,462,0.15242494226327943,Task activation network only in ROI
Temporal_Sup,4385,86,0.019612314709236033,329,0.0750285062713797,5,0.0011402508551881414,91,0.020752565564424175,334,0.07616875712656784,420,0.09578107183580388,Shared voxels present
