map_id,label,source,path,threshold_percentile,threshold_value,n_voxels,n_components,largest_component_voxels,largest_component_fraction,mean_value,mean_abs_value,x_mm,y_mm,z_mm,candidate_id,task,bold,beta,smooth,gamma
main_result_p90,Full model,main_result_top90_nonzero_weights,data/voxel_weights_task1_bold0.6_beta0.6_smooth1.25_gamma1.5.nii.gz,90.0,0.00035733996281983593,9189,625,780,0.08488410055501143,0.0004570285370787038,0.0004570285370787038,-4.417079371534939,-17.59933682199994,5.863691054156931,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,1.0,0.6,0.6,1.25,1.5
task0_bold0.6_beta0.6_smooth1.25_gamma1.5,No task,cluster_filtered_ablation_thr90,data/ablation/voxel_weights_mean_foldavg_sub9_ses1_task0_bold0.6_beta0.6_smooth1.25_gamma1.5_bold_thr90.nii.gz,,,7200,16,1090,0.15138888888888888,0.0003083551041837197,0.0003083551041837197,-5.971466527217046,-37.34602161040635,-10.031350092767049,task0_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0,0.6,0.6,1.25,1.5
task0_bold0.6_beta0_smooth0_gamma1.5,BOLD-only,cluster_filtered_ablation_thr90,data/ablation/voxel_weights_mean_foldavg_sub9_ses1_task0_bold0.6_beta0_smooth0_gamma1.5_bold_thr90.nii.gz,,,5115,15,1616,0.31593352883675463,0.00031593411936671684,0.00031593411936671684,17.656409993653227,-40.7207325403927,8.303434031427798,task0_bold0.6_beta0_smooth0_gamma1.5,0.0,0.6,0.0,0.0,1.5
task0_bold0_beta0.6_smooth0_gamma1.5,Beta-only,cluster_filtered_ablation_thr90,data/ablation/voxel_weights_mean_foldavg_sub9_ses1_task0_bold0_beta0.6_smooth0_gamma1.5_bold_thr90.nii.gz,,,6695,14,2181,0.32576549663928306,0.00020507185346686126,0.00020507185346686126,28.20414402459189,-16.945624485517186,13.744687624265154,task0_bold0_beta0.6_smooth0_gamma1.5,0.0,0.0,0.6,0.0,1.5
task0_bold0_beta0_smooth0_gamma1.5,No objective penalties,cluster_filtered_ablation_thr90,data/ablation/voxel_weights_mean_foldavg_sub9_ses1_task0_bold0_beta0_smooth0_gamma1.5_bold_thr90.nii.gz,,,5160,18,1017,0.19709302325581396,0.0004579608411083939,0.0004579608411083939,-8.510039558533435,-14.595185657720634,14.585094695743663,task0_bold0_beta0_smooth0_gamma1.5,0.0,0.0,0.0,0.0,1.5
task0_bold0_beta0_smooth1.25_gamma1.5,Smooth-only,cluster_filtered_ablation_thr90,data/ablation/voxel_weights_mean_foldavg_sub9_ses1_task0_bold0_beta0_smooth1.25_gamma1.5_bold_thr90.nii.gz,,,8517,10,2417,0.28378537043559937,0.00015952995693794303,0.00015952995693794303,4.424094117869572,-27.557290617440685,6.340394645237652,task0_bold0_beta0_smooth1.25_gamma1.5,0.0,0.0,0.0,1.25,1.5
task1_bold0.6_beta0.6_smooth1.25_gamma1.5,Full ablation map,cluster_filtered_ablation_thr90,data/ablation/voxel_weights_mean_foldavg_sub9_ses1_task1_bold0.6_beta0.6_smooth1.25_gamma1.5_bold_thr90.nii.gz,,,6252,19,800,0.12795905310300704,0.0004683473440206071,0.0004683473440206071,-4.103568930670193,-15.88399959748834,0.060222810758702394,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,1.0,0.6,0.6,1.25,1.5
task1_bold0.6_beta0_smooth1.25_gamma1.5,No beta stability,cluster_filtered_ablation_thr90,data/ablation/voxel_weights_mean_foldavg_sub9_ses1_task1_bold0.6_beta0_smooth1.25_gamma1.5_bold_thr90.nii.gz,,,6154,18,801,0.13015924601884954,0.00046598528063751646,0.00046598528063751646,-4.0936787799230245,-15.228139972922534,0.1511399825563018,task1_bold0.6_beta0_smooth1.25_gamma1.5,1.0,0.6,0.0,1.25,1.5
task1_bold0_beta0.6_smooth1.25_gamma1.5,No BOLD stability,cluster_filtered_ablation_thr90,data/ablation/voxel_weights_mean_foldavg_sub9_ses1_task1_bold0_beta0.6_smooth1.25_gamma1.5_bold_thr90.nii.gz,,,6104,20,743,0.12172346002621232,0.0005303963992599124,0.0005303963992599124,4.054479702341908,-12.295011601883829,-6.700127279206882,task1_bold0_beta0.6_smooth1.25_gamma1.5,1.0,0.0,0.6,1.25,1.5
task1_bold0_beta0_smooth0_gamma1.5,Task-only reference,cluster_filtered_ablation_thr90,data/ablation/voxel_weights_mean_foldavg_sub9_ses1_task1_bold0_beta0_smooth0_gamma1.5_bold_thr90.nii.gz,,,4640,16,667,0.14375,0.0005545098950724054,0.0005545098950724054,5.147138474951191,-16.20892237933427,6.820874125546695,task1_bold0_beta0_smooth0_gamma1.5,1.0,0.0,0.0,0.0,1.5
