reference_map_id,reference_label,map_id,label,shared_voxels,reference_voxels,map_voxels,dice,jaccard,overlap_coefficient,center_of_mass_distance_mm,union_abs_spearman
main_result_p90,Full model,main_result_p90,Full model,9189,9189,9189,1.0,1.0,1.0,0.0,1.0
main_result_p90,Full model,task0_bold0.6_beta0.6_smooth1.25_gamma1.5,No task,2675,9189,7200,0.3264384648239673,0.19505614700306256,0.3715277777777778,25.396850446951824,-0.3470908092819019
main_result_p90,Full model,task0_bold0.6_beta0_smooth0_gamma1.5,BOLD-only,2000,9189,5115,0.2796420581655481,0.1625487646293888,0.39100684261974583,32.059167464498024,-0.36880100819358314
main_result_p90,Full model,task0_bold0_beta0.6_smooth0_gamma1.5,Beta-only,14,9189,6695,0.0017627801561319568,0.0008821676118462507,0.0020911127707244214,33.56607904740945,-0.8132050717356754
main_result_p90,Full model,task0_bold0_beta0_smooth0_gamma1.5,No objective penalties,655,9189,5160,0.09129556066624851,0.04783116693442384,0.12693798449612403,10.091587030278133,-0.716657281542105
main_result_p90,Full model,task0_bold0_beta0_smooth1.25_gamma1.5,Smooth-only,2,9189,8517,0.00022591212018524794,0.00011296882060551288,0.00023482446870963955,13.324955488692302,-0.8130183880112362
main_result_p90,Full model,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,Full ablation map,6103,9189,6252,0.7904928437277379,0.6535660741058043,0.9761676263595649,6.059778398791336,0.661071545808193
main_result_p90,Full model,task1_bold0.6_beta0_smooth1.25_gamma1.5,No beta stability,5928,9189,6154,0.7727302352864498,0.6296335634625597,0.9632759181020475,6.193577494903495,0.6517058992722302
main_result_p90,Full model,task1_bold0_beta0.6_smooth1.25_gamma1.5,No BOLD stability,4291,9189,6104,0.5611717779376185,0.3900199963642974,0.7029816513761468,16.054678766537613,0.2430545075154223
main_result_p90,Full model,task1_bold0_beta0_smooth0_gamma1.5,Task-only reference,3473,9189,4640,0.5022778219683274,0.33536114329857086,0.7484913793103448,9.712039681218988,0.2308368312575852
