roi,mean_delta,median_delta,wilcoxon_stat,p_value,mean_off,mean_on,p_fdr,sig_fdr05,n_subjects
ParaHippocampal_L,-0.2123806044767911,-0.18797750841185046,22.0,0.007904052734375,1.1080854123683022,0.8957048078915109,0.162933349609375,False,17
Supp_Motor_Area_R,-0.1976406895749619,-0.145646122216895,24.0,0.010986328125,1.1483437096589453,0.9507030200839833,0.162933349609375,False,17
Temporal_R,0.22108164363770938,0.2883444589724635,25.0,0.0128631591796875,0.8296184355277252,1.0507000791654344,0.162933349609375,False,17
Caudate_R,-0.13937926225763483,-0.09724938926297577,28.0,0.0201568603515625,0.9274033546874432,0.7880240924298085,0.19149017333984375,False,17
Orbitofrontal_L,0.11629284942150313,0.1714039551257298,37.0,0.0638275146484375,0.8590852839605011,0.9753781333820042,0.4522705078125,False,17
Paracentral_Lobule_L,0.17427106684213722,0.2341412293394578,38.0,0.0714111328125,1.00512825989887,1.1793993267410072,0.4522705078125,False,17
Postcentral_L,0.14949992238926177,0.23113142612381798,43.0,0.120208740234375,0.9938202390234862,1.143320161412748,0.6056365966796875,False,17
Putamen_L,0.08253011532400674,0.03984752355636756,45.0,0.1454315185546875,0.790733713451484,0.8732638287754908,0.6056365966796875,False,17
Cingulate_R,-0.06632469945314406,-0.12459224780357658,46.0,0.1593780517578125,0.9024990038696388,0.8361743044164947,0.6056365966796875,False,17
Fusiform_L,0.13236126933431894,0.10990793155147083,46.0,0.1593780517578125,0.7961556782948581,0.928516947629177,0.6056365966796875,False,17
Cingulate_L,0.1075619318050315,0.11397675400368756,51.0,0.243499755859375,0.8342785061345412,0.9418404379395727,0.8306344839242789,False,17
Temporal_L,0.07548445374700309,0.13817110489946005,52.0,0.2633209228515625,0.9418993438098149,1.017383797556818,0.8306344839242789,False,17
Putamen_R,0.06498984563129113,0.09640258227728848,53.0,0.2841644287109375,0.7300662036393387,0.7950560492706299,0.8306344839242789,False,17
Parietal_R,0.06131502147897527,0.12315324793055904,56.0,0.352874755859375,1.018583093442289,1.0798981149212645,0.9285135269165039,False,17
Caudate_L,0.04441850776936453,0.03149552686665369,60.0,0.4585723876953125,0.8734250412577185,0.9178435490270831,0.9285135269165039,False,17
Amygdala_R,0.05492249502100465,0.0040125747713384285,61.0,0.4873809814453125,0.8322555966943703,0.887178091715375,0.9285135269165039,False,17
Cerebellum_R,-0.07886153836164456,-0.06528879356774708,61.0,0.4873809814453125,1.0471613586101594,0.9682998202485151,0.9285135269165039,False,17
Thalamus_R,0.04784415152890401,0.06621920590054131,62.0,0.51708984375,0.8073917635075122,0.8552359150364162,0.9285135269165039,False,17
Cerebellum_L,0.019107391020677312,0.0557176612708159,63.0,0.54766845703125,0.8905568051085071,0.9096641961291844,0.9285135269165039,False,17
Olfactory_L,0.008663154279723946,-0.09058353532681451,63.0,0.54766845703125,0.9214699147595029,0.9301330690392269,0.9285135269165039,False,17
Precentral_L,-0.04620066272228029,0.02842049818779846,63.0,0.54766845703125,1.1269201239185316,1.0807194611962512,0.9285135269165039,False,17
Frontal_R,0.008617841642176154,0.07713183711186966,65.0,0.6112213134765625,0.9277878602443572,0.9364057018865334,0.9285135269165039,False,17
Precentral_R,0.040958714059611975,0.017348838938919364,65.0,0.6112213134765625,1.1202367653313663,1.1611954793909782,0.9285135269165039,False,17
Fusiform_R,0.03566590177301004,0.02418447494685738,66.0,0.644134521484375,0.9506449251434274,0.9863108269164376,0.9285135269165039,False,17
Parietal_L,0.053113730905179665,0.01637106495095164,66.0,0.644134521484375,0.9791732283977337,1.0322869593029134,0.9285135269165039,False,17
Frontal_L,0.05249706289514034,0.0003008032701030672,67.0,0.677703857421875,0.8902080415519934,0.9427051044471338,0.9285135269165039,False,17
Postcentral_R,0.025362815617053662,0.014853058933929297,67.0,0.677703857421875,0.964114208063149,0.9894770236802026,0.9285135269165039,False,17
Occipital_R,-0.008548783150404618,-0.08303734114983463,69.0,0.7466583251953125,0.9911697477131729,0.9826209645627683,0.9285135269165039,False,17
ParaHippocampal_R,0.0254449430685013,0.03729236992342866,69.0,0.7466583251953125,0.9342571822722798,0.9597021253407813,0.9285135269165039,False,17
Paracentral_Lobule_R,0.03772356138792031,-0.004510624711635991,69.0,0.7466583251953125,1.0172829972512496,1.05500655863917,0.9285135269165039,False,17
Amygdala_L,-0.002184936576693092,0.078216634065301,70.0,0.7819061279296875,0.9648676135579327,0.9626826769812397,0.9285135269165039,False,17
Thalamus_L,0.000680519524711474,-0.011830689395202931,70.0,0.7819061279296875,0.8292908457693604,0.8299713652940719,0.9285135269165039,False,17
Hippocampus_L,0.021151128297091055,0.07318115407930703,71.0,0.8175811767578125,0.9933003866775243,1.0144515149746152,0.9414571126302084,False,17
Orbitofrontal_R,-0.02937800625664977,0.052571712568101336,72.0,0.8536376953125,1.0216609994406818,0.9922829931840319,0.9540656594669118,False,17
Supp_Motor_Area_L,0.018284485132063287,0.08714833616988793,73.0,0.8899688720703125,1.1518257886604546,1.1701102737925178,0.963226318359375,False,17
Hippocampus_R,0.008496473832137011,0.032295152234997904,75.0,0.963226318359375,0.816378823054153,0.82487529688629,0.963226318359375,False,17
Occipital_L,-0.0030604300114687698,0.026400674188008733,75.0,0.963226318359375,0.9084629487842427,0.905402518772774,0.963226318359375,False,17
Olfactory_R,0.0027111856277165698,0.052615865133556206,75.0,0.963226318359375,0.9492535823915389,0.9519647680192553,0.963226318359375,False,17
