roi_name,n_weighted_voxels,roi_percentile,weight_threshold
Temporal_L,1327,90.0,0.00035733996281983593
Temporal_R,873,90.0,0.00035733996281983593
Parietal_L,489,90.0,0.00035733996281983593
Parietal_R,653,90.0,0.00035733996281983593
Frontal_L,618,90.0,0.00035733996281983593
Frontal_R,311,90.0,0.00035733996281983593
Cerebellum_L,199,90.0,0.00035733996281983593
Cerebellum_R,411,90.0,0.00035733996281983593
Orbitofrontal_L,418,90.0,0.00035733996281983593
Orbitofrontal_R,228,90.0,0.00035733996281983593
ParaHippocampal_L,214,90.0,0.00035733996281983593
ParaHippocampal_R,234,90.0,0.00035733996281983593
Precentral_L,246,90.0,0.00035733996281983593
Precentral_R,105,90.0,0.00035733996281983593
Fusiform_L,191,90.0,0.00035733996281983593
Fusiform_R,157,90.0,0.00035733996281983593
Supp_Motor_Area_L,143,90.0,0.00035733996281983593
Supp_Motor_Area_R,175,90.0,0.00035733996281983593
Occipital_L,67,90.0,0.00035733996281983593
Occipital_R,226,90.0,0.00035733996281983593
Postcentral_L,224,90.0,0.00035733996281983593
Postcentral_R,23,90.0,0.00035733996281983593
Caudate_L,173,90.0,0.00035733996281983593
Caudate_R,44,90.0,0.00035733996281983593
Paracentral_Lobule_L,132,90.0,0.00035733996281983593
Paracentral_Lobule_R,57,90.0,0.00035733996281983593
Hippocampus_L,62,90.0,0.00035733996281983593
Hippocampus_R,111,90.0,0.00035733996281983593
Putamen_L,119,90.0,0.00035733996281983593
Putamen_R,35,90.0,0.00035733996281983593
Amygdala_L,74,90.0,0.00035733996281983593
Amygdala_R,36,90.0,0.00035733996281983593
Olfactory_L,36,90.0,0.00035733996281983593
Olfactory_R,9,90.0,0.00035733996281983593
Thalamus_L,33,90.0,0.00035733996281983593
Thalamus_R,10,90.0,0.00035733996281983593
Cingulate_L,10,90.0,0.00035733996281983593
Cingulate_R,30,90.0,0.00035733996281983593
