roi,mean_delta,median_delta,wilcoxon_stat,p_value,mean_off,mean_on,p_fdr,sig_fdr05,n_subjects
Postcentral_R,-0.2498396751152691,-0.20456291655226178,22.0,0.007904052734375,1.2252533602888083,0.9754136851735389,0.276641845703125,False,17
Temporal_L,-0.17017463080328385,-0.2027135239527622,30.0,0.02667236328125,1.0213331031684039,0.8511584723651202,0.466766357421875,False,17
Paracentral_Lobule_R,0.1476758890229498,0.1859414542661999,37.0,0.0638275146484375,1.0101600827755899,1.1578359717985394,0.7446543375651041,False,17
Insula_R,-0.10148740317603587,-0.11275766189459446,40.0,0.088653564453125,0.8860305510749075,0.7845431478988717,0.7757186889648438,False,17
Thalamus_L,0.08412137488535995,0.06873203334027167,47.0,0.17425537109375,0.7624544299821482,0.8465758048675082,0.8787446863511029,False,17
Hippocampus_R,-0.10181664244522942,-0.18614631719925634,49.0,0.2068939208984375,0.8611846935858946,0.7593680511406651,0.8787446863511029,False,17
Orbitofrontal_R,0.10307309437506346,0.04110823908293204,51.0,0.243499755859375,0.7901462581559489,0.8932193525310121,0.8787446863511029,False,17
Putamen_R,0.08643127112985674,0.05397565346854627,52.0,0.2633209228515625,0.8455142941538667,0.9319455652837235,0.8787446863511029,False,17
Occipital_L,0.1676403526379702,0.045577346444872546,57.0,0.3778228759765625,1.0906627085109797,1.2583030611489499,0.8787446863511029,False,17
Pallidum_L,-0.06419293556073298,-0.05437862169821317,57.0,0.3778228759765625,0.8164937982121255,0.7523008626513925,0.8787446863511029,False,17
Rolandic_Oper_R,-0.08586681346218772,-0.1556743907059932,57.0,0.3778228759765625,0.8630043382474497,0.777137524785262,0.8787446863511029,False,17
Paracentral_Lobule_L,0.03229800901008211,0.09695926033928037,60.0,0.4585723876953125,0.9783937853003934,1.0106917943104756,0.8787446863511029,False,17
Cingulate_L,-0.05674634588243919,-0.18980352173218895,61.0,0.4873809814453125,0.9385656073649326,0.8818192614824935,0.8787446863511029,False,17
Frontal_L,0.041506588145260405,0.049571414702056504,62.0,0.51708984375,0.8579534511337483,0.8994600392790087,0.8787446863511029,False,17
Supp_Motor_Area_R,-0.07812309160499832,0.04609466146517338,62.0,0.51708984375,1.105820819065648,1.0276977274606498,0.8787446863511029,False,17
Fusiform_R,0.03732849894424309,0.10118439878282626,63.0,0.54766845703125,0.8589347008641429,0.8962631998083861,0.8787446863511029,False,17
Putamen_L,-0.06951093696610494,-0.03925587191180435,64.0,0.5790557861328125,0.9211141578521257,0.8516032208860206,0.8787446863511029,False,17
Cerebellum_L,0.07328038342302678,-0.018637851005121053,66.0,0.644134521484375,0.9350545059751975,1.0083348893982242,0.8787446863511029,False,17
Cerebellum_R,-0.0405599519053961,-0.008623476014897102,66.0,0.644134521484375,0.9656183774325814,0.9250584255271853,0.8787446863511029,False,17
Insula_L,-0.025563658421066088,-0.0002060210482830449,67.0,0.677703857421875,0.8973029535604342,0.871739295139368,0.8787446863511029,False,17
Occipital_R,0.04761278178954229,0.14001574061390087,67.0,0.677703857421875,1.0817423656599463,1.1293551474494885,0.8787446863511029,False,17
Hippocampus_L,-0.032963502553602496,-0.09018645783395529,68.0,0.7118988037109375,0.7828721884089397,0.7499086858553371,0.8787446863511029,False,17
Parietal_L,-0.02071360473541118,0.0687567043671038,69.0,0.7466583251953125,1.0016334302172698,0.9809198254818587,0.8787446863511029,False,17
Precentral_L,-0.07572142350754041,-0.02065305460144895,69.0,0.7466583251953125,1.1354966405138147,1.0597752170062744,0.8787446863511029,False,17
Temporal_R,0.024514038845116132,0.05112708817076994,69.0,0.7466583251953125,1.0073351349005124,1.0318491737456286,0.8787446863511029,False,17
Cingulate_R,-0.01065080740273818,0.07225585262234491,70.0,0.7819061279296875,0.9028190891195124,0.8921682817167742,0.8787446863511029,False,17
Pallidum_R,-0.021815184805096203,-0.046865253868511925,70.0,0.7819061279296875,0.9315176523812637,0.9097024675761675,0.8787446863511029,False,17
Frontal_R,-0.004980983978255749,0.06631983311073864,71.0,0.8175811767578125,0.8697310498013516,0.864750065823096,0.8787446863511029,False,17
ParaHippocampal_R,-0.020118657232994958,-0.045179198955805244,71.0,0.8175811767578125,0.7974430649465345,0.7773244077135395,0.8787446863511029,False,17
Parietal_R,0.020703063995612413,0.007813787696239416,71.0,0.8175811767578125,1.0144376955161454,1.0351407595117579,0.8787446863511029,False,17
Fusiform_L,-0.03610928816305232,-0.19330755155265988,72.0,0.8536376953125,1.0792920449649845,1.043182756801932,0.8787446863511029,False,17
Postcentral_L,-0.028830169934758464,0.029755102473269623,72.0,0.8536376953125,1.1557426283017254,1.1269124583669672,0.8787446863511029,False,17
Precentral_R,-0.06311406753243565,-0.003797394589709402,72.0,0.8536376953125,1.0161503037844197,0.9530362362519841,0.8787446863511029,False,17
Rolandic_Oper_L,0.05944958243611627,-0.03358877475927047,72.0,0.8536376953125,0.9003943011187808,0.959843883554897,0.8787446863511029,False,17
Thalamus_R,0.008158301799949155,-0.0010400756127491029,74.0,0.926513671875,0.8097505334938253,0.8179088352937746,0.926513671875,False,17
