group_i,group_j,n_edges,n_positive,n_negative
Frontal-Parietal,Frontal-Parietal,1,0,1
Frontal-Parietal,Subcortical,3,0,3
Frontal-Parietal,Cingulate-Temporal,2,0,2
Frontal-Parietal,Visual,6,0,6
Frontal-Parietal,Limbic-Olfactory,5,0,5
Frontal-Parietal,Somatosensory-Cerebellum,4,0,4
Subcortical,Subcortical,4,0,4
Subcortical,Cingulate-Temporal,6,0,6
Subcortical,Visual,3,0,3
Subcortical,Limbic-Olfactory,4,0,4
Subcortical,Somatosensory-Cerebellum,16,0,16
Cingulate-Temporal,Cingulate-Temporal,2,0,2
Cingulate-Temporal,Visual,2,0,2
Cingulate-Temporal,Limbic-Olfactory,2,0,2
Cingulate-Temporal,Somatosensory-Cerebellum,6,0,6
Visual,Visual,4,0,4
Visual,Limbic-Olfactory,4,0,4
Visual,Somatosensory-Cerebellum,9,0,9
Limbic-Olfactory,Limbic-Olfactory,0,0,0
Limbic-Olfactory,Somatosensory-Cerebellum,4,0,4
Somatosensory-Cerebellum,Somatosensory-Cerebellum,7,0,7
