group_i,group_j,n_edges,n_positive,n_negative
Frontal-Parietal,Frontal-Parietal,1,1,0
Frontal-Parietal,Subcortical,3,3,0
Frontal-Parietal,Cingulate-Temporal,3,3,0
Frontal-Parietal,Visual,1,1,0
Frontal-Parietal,Limbic-Olfactory,2,2,0
Frontal-Parietal,Somatosensory-Cerebellum,2,2,0
Subcortical,Subcortical,1,1,0
Subcortical,Cingulate-Temporal,1,1,0
Subcortical,Visual,3,3,0
Subcortical,Limbic-Olfactory,2,2,0
Subcortical,Somatosensory-Cerebellum,5,5,0
Cingulate-Temporal,Cingulate-Temporal,1,1,0
Cingulate-Temporal,Visual,1,1,0
Cingulate-Temporal,Limbic-Olfactory,2,2,0
Cingulate-Temporal,Somatosensory-Cerebellum,6,6,0
Visual,Visual,0,0,0
Visual,Limbic-Olfactory,0,0,0
Visual,Somatosensory-Cerebellum,0,0,0
Limbic-Olfactory,Limbic-Olfactory,0,0,0
Limbic-Olfactory,Somatosensory-Cerebellum,3,3,0
Somatosensory-Cerebellum,Somatosensory-Cerebellum,3,3,0
