session,medication,n_trials,n_subjects,condition_label,reference,term,coef_z_inverse_rt,se,z_stat,p_value,direction,n_trials_condition,mean_inverse_rt_z_condition,median_inverse_rt_z_condition,q_fdr_within_session_medication,significant_fdr,significant_raw_p
1,OFF,2846,18,GVS1,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS1]",0.11227210351285473,0.07965627703315224,1.4094570785190985,0.15870005650614494,faster_than_sham,310,0.005935796624550713,-0.0032476923111512067,0.24695650109317033,False,False
1,OFF,2846,18,GVS2,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS2]",0.10494205170783007,0.07920987922065893,1.3248606454188339,0.18521737581987774,faster_than_sham,317,-0.001099971562219323,-0.025800687965375945,0.24695650109317033,False,False
1,OFF,2846,18,GVS3,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS3]",0.08204746864250058,0.07914737857551254,1.036641643970825,0.29990289776283097,faster_than_sham,318,-0.024087229692207182,0.004537470283688355,0.3108340776935016,False,False
1,OFF,2846,18,GVS4,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS4]",0.11848237612214432,0.07908543741273177,1.4981566771112038,0.13409254849272473,faster_than_sham,319,0.01244211836247631,0.02133483240920337,0.24695650109317033,False,False
1,OFF,2846,18,GVS5,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS5]",0.08040445413452105,0.07933553184233096,1.0134734370258516,0.3108340776935016,faster_than_sham,315,-0.025828260276979608,-0.04545292478377968,0.3108340776935016,False,False
1,OFF,2846,18,GVS6,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS6]",0.11923318713875118,0.07946277208765379,1.500491160907745,0.13348722143865885,faster_than_sham,313,0.012807344635868767,0.04636718775568073,0.24695650109317033,False,False
1,OFF,2846,18,GVS7,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS7]",0.22723005316273653,0.07914807566923597,2.870948551072082,0.004092421261168644,faster_than_sham,318,0.12146959728083734,0.09950227986169158,0.03273937008934915,True,True
1,OFF,2846,18,GVS8,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS8]",0.110881576084957,0.07914737839347843,1.400950711642186,0.16122881260107413,faster_than_sham,318,0.00474687772172666,0.022404716713955265,0.24695650109317033,False,False
2,ON,2684,18,GVS1,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS1]",-0.07033451031739092,0.08152415019713365,-0.8627444769103997,0.38827797252393037,slower_than_sham,295,-0.027907488853460623,-0.09530035679689751,0.6474385740188338,False,False
2,ON,2684,18,GVS2,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS2]",-0.03902037156867544,0.08110243558454885,-0.48112453451532794,0.6304279917701425,slower_than_sham,301,0.0032003941632682133,0.0220389391675593,0.7570974325831236,False,False
2,ON,2684,18,GVS3,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS3]",-0.11350307159900316,0.08165783968159496,-1.3899837669179225,0.16453380677464158,slower_than_sham,293,-0.07127822736576804,-0.08416066261865246,0.6474385740188338,False,False
2,ON,2684,18,GVS4,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS4]",-0.12348851843793197,0.08131422136159316,-1.5186583154845141,0.12884852420591394,slower_than_sham,298,-0.08108184146458502,-0.0976381235972752,0.6474385740188338,False,False
2,ON,2684,18,GVS5,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS5]",-0.0673652410647737,0.0808369725636407,-0.8333469070942622,0.40464910876177107,slower_than_sham,305,-0.025048156988774634,-0.04756751616850814,0.6474385740188338,False,False
2,ON,2684,18,GVS6,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS6]",-0.03540274994392976,0.08110243545480596,-0.4365189497133882,0.6624602535102331,slower_than_sham,301,0.006818015788038208,-0.030551334801736527,0.7570974325831236,False,False
2,ON,2684,18,GVS7,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS7]",-0.01772715221499993,0.08166759152216264,-0.2170647117735706,0.8281579142309579,slower_than_sham,293,0.024736397554881707,-0.028240109190703525,0.8281579142309579,False,False
2,ON,2684,18,GVS8,sham,"C(condition_label, Treatment(reference=""sham""))[T.GVS8]",0.08657822202928546,0.08166760871035202,1.0601292654025143,0.2890857954495689,faster_than_sham,293,0.12904177179706763,0.13264517540350332,0.6474385740188338,False,False
