active_gvs,sham_gvs,feature,label,n_subjects,mean_sham,mean_active,mean_active_minus_sham,median_active_minus_sham,mean_diff_ci95_low,mean_diff_ci95_high,cohen_dz,p_perm,p_perm_exact,p_wilcoxon,p_paired_t,q_perm_fdr
gvs-02,gvs-01,slope,Linear slope,17,3.948069936549546e-05,-0.0005989150698125498,-0.0006383957691780453,-0.0003439388634491635,-0.0013868202242109256,-1.1593527788446982e-05,-0.4285611568163887,0.0913543701171875,True,0.1454315185546875,0.09629344671431722,0.30625
gvs-02,gvs-01,early_late_change,Late minus early,17,0.0005611005765505926,-0.0034399867312317877,-0.004001087307782381,-0.0018802339136213748,-0.008867445139749021,0.0001360351343321224,-0.410910418961078,0.1062774658203125,True,0.17425537109375,0.1095948479429412,0.3091708096590909
gvs-02,gvs-01,abs_baseline_response,Max abs. baseline response,17,0.03524315453339589,0.03755077971584772,0.0023076251824518407,0.002997047874742949,-0.0005381901819378343,0.005252326686730997,0.3685474337663582,0.14813232421875,True,0.1593780517578125,0.14813460520030577,0.33858816964285715
gvs-02,gvs-01,peak_to_peak,Peak-to-peak amplitude,17,0.04423379370213435,0.04647733427346176,0.002243540571327421,0.001998148761368201,-0.0008451439957271187,0.005818442335082208,0.30985895982281847,0.2291259765625,True,0.328948974609375,0.2196240832416242,0.48880208333333336
gvs-03,gvs-01,early_late_change,Late minus early,17,0.0005611005765505926,-0.002922091734093753,-0.0034831923106443453,-0.0033605051804082497,-0.007196359271808258,-0.00025733378062491583,-0.4588587441913025,0.0629425048828125,True,0.0714111328125,0.076742202481589,0.25177001953125
gvs-03,gvs-01,slope,Linear slope,17,3.948069936549546e-05,-0.00043303933409037784,-0.00047252003345587325,-0.00041141138015484747,-0.0010064256777952327,2.5062812583385797e-05,-0.42302184008409743,0.095703125,True,0.120208740234375,0.10030728022060205,0.30625
gvs-03,gvs-01,peak_to_peak,Peak-to-peak amplitude,17,0.04423379370213435,0.04515013905018933,0.0009163453480549903,0.0008623040703321528,-0.003165371180927282,0.005126084492181194,0.1015016863886277,0.68719482421875,True,0.8899688720703125,0.6811435401473735,0.8395182291666666
gvs-03,gvs-01,abs_baseline_response,Max abs. baseline response,17,0.03524315453339589,0.03551133661028197,0.00026818207688608203,0.0009447050797300512,-0.0032805734477092336,0.0034369507788191236,0.037390316197097595,0.8840789794921875,True,0.8175811767578125,0.8794080581386094,0.91259765625
gvs-04,gvs-01,early_late_change,Late minus early,17,0.0005611005765505926,-0.002122528398460282,-0.002683628975010875,-0.0024548284010367503,-0.00722224465299378,0.0017559994646594256,-0.27413328535305537,0.290191650390625,True,0.190093994140625,0.2750176481335371,0.5462431066176471
gvs-04,gvs-01,slope,Linear slope,17,3.948069936549546e-05,-0.00032457306814307824,-0.00036405376750857366,-0.00046702357321955017,-0.0010317695083969984,0.0002967666263354905,-0.2529481335057688,0.3203125,True,0.2633209228515625,0.3124826850207296,0.5694444444444444
gvs-04,gvs-01,abs_baseline_response,Max abs. baseline response,17,0.03524315453339589,0.03603727588466107,0.0007941213512651848,0.001486762413985451,-0.0025150143732854784,0.004109845031112468,0.10912876285845065,0.6611328125,True,0.7819061279296875,0.6587832034114898,0.8395182291666666
gvs-04,gvs-01,peak_to_peak,Peak-to-peak amplitude,17,0.04423379370213435,0.04462599305248577,0.0003921993503514259,0.00042878346133239965,-0.0027634426031307845,0.003434199906588735,0.058510950030732645,0.8142242431640625,True,0.677703857421875,0.8124282187411755,0.8994954427083334
gvs-05,gvs-01,slope,Linear slope,17,3.948069936549546e-05,-0.0005963151363171486,-0.000635795835682644,-0.0002889588646590723,-0.0011350065228312497,-0.00018955998327431384,-0.6115956540379957,0.01397705078125,True,0.02667236328125,0.022663036797053608,0.11181640625
gvs-05,gvs-01,early_late_change,Late minus early,17,0.0005611005765505926,-0.003361603784227953,-0.003922704360778545,-0.0023567466449149997,-0.007179478731629479,-0.0009074863246599365,-0.565945868632637,0.0295867919921875,True,0.079681396484375,0.032997299373832334,0.16837565104166666
