model,status,fit_kind,term,coefficient,std_error,z_or_t,p_value,ci95_low,ci95_high,n_observations,n_subjects,formula
mean_rt_mixed_model,fit,mixedlm_random_intercept_subject,Intercept,393.90467769467637,15.484615966932617,25.43845314187058,9.474713299434553e-143,363.5553880850546,424.25396730429816,5368,18,RT_ms ~ medication_on * reward_high + medication_on * C(gvs_condition) + C(run) + block_position + trial_in_run
mean_rt_mixed_model,fit,mixedlm_random_intercept_subject,C(gvs_condition)[T.gvs-02],-9.223213614854936,6.597166330778809,-1.3980568553841686,0.16209599453585677,-22.15342202320166,3.7069947934917877,5368,18,RT_ms ~ medication_on * reward_high + medication_on * C(gvs_condition) + C(run) + block_position + trial_in_run
mean_rt_mixed_model,fit,mixedlm_random_intercept_subject,C(gvs_condition)[T.gvs-03],-10.910974052532293,6.5579305354956245,-1.6637831086308816,0.09615578073662276,-23.764281715219187,1.942333610154602,5368,18,RT_ms ~ medication_on * reward_high + medication_on * C(gvs_condition) + C(run) + block_position + trial_in_run
mean_rt_mixed_model,fit,mixedlm_random_intercept_subject,C(gvs_condition)[T.gvs-04],1.9124479385611695,6.551403416014072,0.2919142383884396,0.7703521967493467,-10.928066805019093,14.75296268214143,5368,18,RT_ms ~ medication_on * reward_high + medication_on * C(gvs_condition) + C(run) + block_position + trial_in_run
mean_rt_mixed_model,fit,mixedlm_random_intercept_subject,C(gvs_condition)[T.gvs-05],-7.435449582082548,6.545700638182436,-1.1359287558477729,0.2559863823510533,-20.26478708650097,5.393887922335875,5368,18,RT_ms ~ medication_on * reward_high + medication_on * C(gvs_condition) + C(run) + block_position + trial_in_run
mean_rt_mixed_model,fit,mixedlm_random_intercept_subject,C(gvs_condition)[T.gvs-06],-3.577977472851503,6.567639947452914,-0.5447889198370455,0.5858987001215776,-16.45031523328575,9.294360287582743,5368,18,RT_ms ~ medication_on * reward_high + medication_on * C(gvs_condition) + C(run) + block_position + trial_in_run
mean_rt_mixed_model,fit,mixedlm_random_intercept_subject,C(gvs_condition)[T.gvs-07],-9.976806119193675,6.578855850708714,-1.5164956256214237,0.12939407559343094,-22.871126646063374,2.9175144076760233,5368,18,RT_ms ~ medication_on * reward_high + medication_on * C(gvs_condition) + C(run) + block_position + trial_in_run
mean_rt_mixed_model,fit,mixedlm_random_intercept_subject,C(gvs_condition)[T.gvs-08],-18.206330535832016,6.551457830302488,-2.7789739333468946,0.005453090080137229,-31.04695192945782,-5.365709142206214,5368,18,RT_ms ~ medication_on * reward_high + medication_on * C(gvs_condition) + C(run) + block_position + trial_in_run
mean_rt_mixed_model,fit,mixedlm_random_intercept_subject,C(gvs_condition)[T.gvs-09],-8.702491914389789,6.551397903027067,-1.3283412247588886,0.18406540668718008,-21.542995852714075,4.138012023934497,5368,18,RT_ms ~ medication_on * reward_high + medication_on * C(gvs_condition) + C(run) + block_position + trial_in_run
mean_rt_mixed_model,fit,mixedlm_random_intercept_subject,C(run)[T.2],3.890843918050693,2.19815901556849,1.7700466119574334,0.0767193761291657,-0.4174685847555675,8.199156420856953,5368,18,RT_ms ~ medication_on * reward_high + medication_on * C(gvs_condition) + C(run) + block_position + trial_in_run
