summary_type,level,n,mean_rt_ms,median_rt_ms,sd_rt_ms,q25_rt_ms,q75_rt_ms,medication,run,block_position,trial_in_run,subject
overall,overall,5368,380.5331594634873,359.5,101.08388200571058,320.0,416.0,,,,,
medication,,2684,388.34798807749627,366.0,108.32024650490413,326.0,424.0,OFF,,,,
medication,,2684,372.7183308494784,351.99999999999994,92.65120823643554,315.0,409.0,ON,,,,
run,,2769,379.51462621885156,361.0,87.71603318362284,321.0,416.99999999999994,,1.0,,,
run,,2599,381.61831473643707,356.99999999999994,113.61600740838446,319.0,414.99999999999994,,2.0,,,
block,,609,376.2775041050903,359.0,79.28492196915502,321.0,411.0,,,1.0,,
block,,605,374.57190082644627,356.0,92.08725816536177,318.0,410.0,,,2.0,,
block,,593,378.1534569983137,354.0,87.13548625689147,320.0,416.0,,,3.0,,
block,,601,386.5790349417637,366.0,90.5231691874173,326.0,426.0,,,4.0,,
block,,594,372.83838383838383,355.5,88.63098256575293,317.25,410.0,,,5.0,,
block,,594,386.06228956228955,359.0,148.6848965912286,320.0,413.0,,,6.0,,
block,,593,384.33389544688026,362.0,103.88627397353278,323.0,418.0,,,7.0,,
block,,592,382.94594594594594,362.0,101.38154190667254,321.0,423.0,,,8.0,,
block,,587,383.22487223168656,360.0,102.24070104553412,319.5,415.99999999999994,,,9.0,,
trial_position,,526,379.5,359.0,84.5052548380164,325.25000000000006,409.5,,,,1.0,
trial_position,,541,384.2273567467652,358.0,149.24267483184306,319.0,406.00000000000006,,,,2.0,
trial_position,,546,384.7930402930403,368.0,89.82087795502343,326.0,420.0,,,,3.0,
trial_position,,527,379.8349146110057,360.0,84.60611755932473,320.0,420.0,,,,4.0,
trial_position,,532,383.453007518797,356.0,116.50251426033358,320.0,414.99999999999994,,,,5.0,
trial_position,,543,377.6685082872928,354.99999999999994,89.42440303877235,319.0,418.5,,,,6.0,
trial_position,,544,378.8602941176471,362.99999999999994,92.32801823350388,319.0,420.5,,,,7.0,
trial_position,,544,381.28125,362.0,92.19246791090237,323.0,416.99999999999994,,,,8.0,
trial_position,,532,376.80827067669173,354.99999999999994,92.20555971416013,314.75,410.25,,,,9.0,
trial_position,,533,378.7954971857411,356.99999999999994,102.2590024824666,320.0,411.0,,,,10.0,
subject,,312,335.2275641025641,327.5,56.42531537589479,296.75,365.0,,,,,PSPD001
subject,,323,352.6501547987616,343.0,52.855582788987775,316.0,382.0,,,,,PSPD002
subject,,312,328.28846153846155,313.0,73.44692154503309,294.0,342.00000000000006,,,,,PSPD003
subject,,306,332.83986928104576,320.5,62.32014524685748,299.0,354.74999999999994,,,,,PSPD004
subject,,315,490.2349206349206,466.00000000000006,102.5004678546572,425.5,527.0,,,,,PSPD007
subject,,321,368.3021806853583,364.0,59.177056588510304,323.0,401.00000000000006,,,,,PSPD009
subject,,323,349.6780185758514,338.0,40.846193628659755,319.5,376.0,,,,,PSPD010
subject,,279,466.910394265233,444.0,119.94850153739736,401.00000000000006,502.5,,,,,PSPD011
subject,,267,308.9700374531835,310.0,61.306691128018485,290.5,333.0,,,,,PSPD012
subject,,324,358.0432098765432,351.99999999999994,38.361543689570645,329.0,382.25,,,,,PSPD013
subject,,324,329.2191358024691,323.0,36.131743860781604,306.75,342.25000000000006,,,,,PSPD014
subject,,313,431.37060702875397,393.0,171.33430930067857,364.0,464.00000000000006,,,,,PSPD015
subject,,137,353.0875912408759,340.0,48.07033365021978,319.0,381.0,,,,,PSPD017
subject,,269,478.09665427509293,465.00000000000006,97.53019981946134,418.99999999999994,521.0,,,,,PSPD018
subject,,322,359.14906832298135,353.5,40.903611518621986,329.25,382.0,,,,,PSPD020
subject,,323,382.5603715170279,376.0,46.589710855783615,350.5,404.0,,,,,PSPD023
subject,,308,329.5292207792208,328.0,67.46147982833331,299.0,360.25,,,,,PSPD024
subject,,290,504.10689655172416,474.0,127.20494982598544,430.0,532.75,,,,,PSPD028
