subject,gvs,gvs_label,mean_inv_rt_low,mean_inv_rt_high,median_inv_rt_low,median_inv_rt_high,n_low,n_high,delta_inv_rt_high_minus_low,percent_change_high_vs_low
PSPD001,1,Sham,0.3555,0.32535294117647057,0.33599999999999997,0.316,16,17,-0.030147058823529416,-8.480185323074378
PSPD001,2,GVS2,0.3501111111111111,0.3279444444444445,0.352,0.333,18,18,-0.022166666666666612,-6.3313233894001755
PSPD001,3,GVS3,0.3378888888888889,0.33222222222222225,0.3385,0.3135,18,18,-0.005666666666666653,-1.6770799079250205
PSPD001,4,GVS4,0.3416111111111111,0.3223888888888889,0.316,0.3135,18,18,-0.019222222222222196,-5.62693120832655
PSPD001,5,GVS5,0.34017647058823525,0.31194444444444447,0.344,0.3085,17,18,-0.028232026143790778,-8.299229542528847
PSPD001,6,GVS6,0.3415625,0.34241176470588236,0.3345,0.35,16,17,0.0008492647058823688,0.24864108497928455
PSPD001,7,GVS7,0.34106666666666663,0.33958823529411764,0.32,0.333,15,17,-0.001478431372548994,-0.433472841834146
PSPD001,8,GVS8,0.33744444444444444,0.31522222222222224,0.314,0.3115,18,18,-0.0222222222222222,-6.585446163977602
PSPD001,9,GVS9,0.35764705882352943,0.31955555555555554,0.345,0.321,17,18,-0.03809150326797389,-10.650584795321647
PSPD002,1,Sham,0.3492777777777778,0.37135294117647055,0.3425,0.368,18,17,0.022075163398692754,6.320231289589145
PSPD002,2,GVS2,0.3606666666666667,0.3416666666666667,0.348,0.3355,18,18,-0.019000000000000017,-5.26802218114603
PSPD002,3,GVS3,0.36694444444444446,0.353,0.361,0.35850000000000004,18,18,-0.013944444444444482,-3.800151400454211
PSPD002,4,GVS4,0.35755555555555557,0.34983333333333333,0.34299999999999997,0.345,18,18,-0.007722222222222241,-2.159726538222504
PSPD002,5,GVS5,0.346,0.35555555555555557,0.341,0.3475,18,18,0.009555555555555595,2.761721258831097
PSPD002,6,GVS6,0.33383333333333337,0.363,0.315,0.358,18,18,0.02916666666666662,8.736894658012964
PSPD002,7,GVS7,0.3726111111111111,0.3521111111111111,0.338,0.36050000000000004,18,18,-0.020500000000000018,-5.501714626509621
PSPD002,8,GVS8,0.3371111111111111,0.3332777777777778,0.3285,0.321,18,18,-0.0038333333333332997,-1.1371127224785662
PSPD002,9,GVS9,0.3684444444444444,0.3365,0.34550000000000003,0.33,18,18,-0.031944444444444386,-8.670084439083217
PSPD003,1,Sham,0.3478235294117647,0.3487222222222222,0.327,0.31,17,18,0.0008986928104575131,0.2583760828306735
PSPD003,2,GVS2,0.32752941176470585,0.33638888888888885,0.303,0.298,17,18,0.008859477124183002,2.704940932311621
PSPD003,3,GVS3,0.3188888888888889,0.32911111111111113,0.3155,0.321,18,18,0.010222222222222244,3.2055749128919926
