Cluster Index	Z	x	y	z	
8	7.56	64	-20	34
8	6.91	46	-38	44
8	6.84	62	-30	34
8	6.68	12	-66	60
8	6.67	-32	-14	-6
8	6.58	46	-38	48
7	7.18	46	44	-4
7	5.33	42	46	8
7	5.2	42	36	10
7	4.57	42	44	14
7	4.48	44	38	16
7	4.16	48	26	10
6	5.11	22	-40	-54
6	4.79	22	-34	-42
6	4.68	28	-44	-52
6	4.68	26	-38	-52
6	4.67	26	-38	-48
6	4.65	24	-40	-44
5	4.78	40	4	58
5	4.45	32	8	60
5	4.41	50	4	50
5	4.02	46	6	50
5	3.79	32	-2	64
5	3.66	34	-6	64
4	4.82	-50	6	24
4	4.69	-52	8	28
4	4.11	-58	14	26
4	3.97	-58	10	24
4	3.52	-58	4	22
3	4.46	6	28	54
3	4.23	6	28	50
2	4.91	0	-10	-14
2	4.75	4	-8	-12
1	4.12	-26	38	16
1	4.04	-20	38	18
1	3.82	-28	42	16
