mask_a,family_a,mask_b,family_b,n_voxels_a,n_voxels_b,shared_voxels,dice,jaccard,overlap_coefficient,shared_top_regions,overlap_set
Standard GLM positive z,positive_z,GLMsingle Type A positive z,positive_z,22882,26123,15660,0.6391184573002755,0.46963562753036436,0.6843807359496548,Cerebellum (4382); Occipital (2453); Parietal (2260); Temporal (1365); Postcentral (834); Insula (642),primary
Standard GLM positive z,positive_z,GLMsingle Type D positive z,positive_z,22882,12421,7651,0.4334475823584398,0.2766888470996673,0.6159729490379197,Cerebellum (1658); Occipital (1540); Parietal (1368); Temporal (796); Postcentral (410); Frontal (345),primary
Standard GLM positive z,positive_z,Optimization p80,weight_percentile,22882,18375,3754,0.18198123954722836,0.10009865877396475,0.20429931972789114,Cerebellum (1069); Parietal (724); Occipital (471); Temporal (374); Postcentral (244); Fusiform (225),primary
Standard GLM positive z,positive_z,Optimization p90,weight_percentile,22882,9189,1383,0.08624614137382682,0.04506647549530761,0.1505060398302318,Cerebellum (416); Parietal (250); Occipital (127); Putamen (119); Postcentral (116); Temporal (105),primary
GLMsingle Type A positive z,positive_z,GLMsingle Type D positive z,positive_z,26123,12421,10715,0.5559879618098796,0.385030004671386,0.8626519603896626,Occipital (2224); Cerebellum (1702); Parietal (1648); Temporal (813); Precentral (766); Frontal (659),primary
GLMsingle Type A positive z,positive_z,Optimization p80,weight_percentile,26123,18375,4595,0.20652613600611264,0.11515424905395584,0.25006802721088434,Cerebellum (915); Parietal (838); Occipital (530); Precentral (441); Postcentral (361); Temporal (282),primary
GLMsingle Type A positive z,positive_z,Optimization p90,weight_percentile,26123,9189,1870,0.10591300407793384,0.05591770827103642,0.20350418979214277,Parietal (371); Cerebellum (349); Precentral (261); Postcentral (184); Occipital (139); Supp_Motor_Area (138),primary
GLMsingle Type D positive z,positive_z,Optimization p80,weight_percentile,12421,18375,2540,0.16495648785556566,0.08989241223103057,0.2044923919169149,Parietal (555); Cerebellum (417); Occipital (341); Precentral (260); Postcentral (190); Temporal (188),primary
GLMsingle Type D positive z,positive_z,Optimization p90,weight_percentile,12421,9189,1077,0.0996760758907913,0.05245215019724346,0.11720535422788116,Parietal (255); Cerebellum (163); Precentral (157); Occipital (100); Postcentral (99); Supp_Motor_Area (86),primary
Optimization p80,weight_percentile,Optimization p90,weight_percentile,18375,9189,9189,0.6667392250761863,0.5000816326530613,1.0,Temporal (2200); Parietal (1142); Frontal (929); Cerebellum (659); Orbitofrontal (646); ParaHippocampal (448),primary
Standard GLM positive z,positive_z,Optimization matched to Standard GLM positive z,weight_matched_positive_z,22882,22882,4946,0.2161524342277773,0.12117203194669018,0.2161524342277773,Cerebellum (1362); Parietal (956); Occipital (621); Temporal (512); Fusiform (325); Postcentral (307),count_matched
Standard GLM positive z,positive_z,Optimization matched to GLMsingle Type A positive z,weight_matched_positive_z,22882,26123,5829,0.23789409243954698,0.13500555864369093,0.25474171838126036,Cerebellum (1594); Parietal (1095); Occipital (753); Temporal (620); Fusiform (392); Postcentral (353),count_matched
Standard GLM positive z,positive_z,Optimization matched to GLMsingle Type D positive z,weight_matched_positive_z,22882,12421,2209,0.12514517179843074,0.06674925968453496,0.1778439739151437,Cerebellum (671); Parietal (415); Occipital (235); Temporal (181); Postcentral (166); Putamen (159),count_matched
GLMsingle Type A positive z,positive_z,Optimization matched to Standard GLM positive z,weight_matched_positive_z,26123,22882,6013,0.2454035302520151,0.13986323036844064,0.26278297351630103,Cerebellum (1181); Parietal (1060); Occipital (745); Precentral (526); Postcentral (439); Temporal (408),count_matched
GLMsingle Type A positive z,positive_z,Optimization matched to GLMsingle Type A positive z,weight_matched_positive_z,26123,26123,7029,0.2690732304865444,0.1554503837052436,0.2690732304865444,Cerebellum (1381); Parietal (1190); Occipital (921); Precentral (582); Temporal (508); Postcentral (489),count_matched
GLMsingle Type A positive z,positive_z,Optimization matched to GLMsingle Type D positive z,weight_matched_positive_z,26123,12421,2801,0.1453403902034039,0.07836499454438631,0.22550519281861364,Cerebellum (563); Parietal (537); Precentral (334); Postcentral (255); Occipital (249); Supp_Motor_Area (184),count_matched
GLMsingle Type D positive z,positive_z,Optimization matched to Standard GLM positive z,weight_matched_positive_z,12421,22882,3194,0.18094779480497408,0.09947366781899156,0.2571451573947347,Parietal (664); Cerebellum (515); Occipital (455); Precentral (295); Temporal (268); Postcentral (227),count_matched
GLMsingle Type D positive z,positive_z,Optimization matched to GLMsingle Type A positive z,weight_matched_positive_z,12421,26123,3685,0.19121004566210045,0.10571158094035973,0.29667498591095726,Parietal (735); Cerebellum (596); Occipital (553); Temporal (326); Precentral (320); Postcentral (259),count_matched
GLMsingle Type D positive z,positive_z,Optimization matched to GLMsingle Type D positive z,weight_matched_positive_z,12421,12421,1586,0.12768698172449883,0.06819745442036464,0.12768698172449883,Parietal (367); Cerebellum (263); Precentral (201); Occipital (168); Postcentral (137); Supp_Motor_Area (107),count_matched
Optimization p80,weight_percentile,Optimization matched to Standard GLM positive z,weight_matched_positive_z,18375,22882,18375,0.8907579319872991,0.8030329516650643,1.0,Temporal (3662); Parietal (2449); Cerebellum (2008); Frontal (1711); Orbitofrontal (1063); Occipital (1063),count_matched
Optimization p80,weight_percentile,Optimization matched to GLMsingle Type A positive z,weight_matched_positive_z,18375,26123,18375,0.8258798148231381,0.7034031313401983,1.0,Temporal (3662); Parietal (2449); Cerebellum (2008); Frontal (1711); Orbitofrontal (1063); Occipital (1063),count_matched
Optimization p80,weight_percentile,Optimization matched to GLMsingle Type D positive z,weight_matched_positive_z,18375,12421,12421,0.8066632030133783,0.6759727891156463,1.0,Temporal (2717); Parietal (1644); Frontal (1187); Cerebellum (1130); Orbitofrontal (807); Occipital (525),count_matched
Optimization p90,weight_percentile,Optimization matched to Standard GLM positive z,weight_matched_positive_z,9189,22882,9189,0.5730410651367279,0.40158202954287214,1.0,Temporal (2200); Parietal (1142); Frontal (929); Cerebellum (659); Orbitofrontal (646); ParaHippocampal (448),count_matched
Optimization p90,weight_percentile,Optimization matched to GLMsingle Type A positive z,weight_matched_positive_z,9189,26123,9189,0.5204463072043498,0.35175898633388203,1.0,Temporal (2200); Parietal (1142); Frontal (929); Cerebellum (659); Orbitofrontal (646); ParaHippocampal (448),count_matched
Optimization p90,weight_percentile,Optimization matched to GLMsingle Type D positive z,weight_matched_positive_z,9189,12421,9189,0.8504396112910689,0.7397955076080831,1.0,Temporal (2200); Parietal (1142); Frontal (929); Cerebellum (659); Orbitofrontal (646); ParaHippocampal (448),count_matched
Optimization matched to Standard GLM positive z,weight_matched_positive_z,Optimization matched to GLMsingle Type A positive z,weight_matched_positive_z,22882,26123,22882,0.933863891439649,0.8759330857864717,1.0,Temporal (4385); Parietal (3040); Cerebellum (2666); Frontal (2181); Occipital (1460); Orbitofrontal (1222),count_matched
Optimization matched to Standard GLM positive z,weight_matched_positive_z,Optimization matched to GLMsingle Type D positive z,weight_matched_positive_z,22882,12421,12421,0.7036795739738833,0.5428284240888034,1.0,Temporal (2717); Parietal (1644); Frontal (1187); Cerebellum (1130); Orbitofrontal (807); Occipital (525),count_matched
Optimization matched to GLMsingle Type A positive z,weight_matched_positive_z,Optimization matched to GLMsingle Type D positive z,weight_matched_positive_z,26123,12421,12421,0.6445101701951017,0.47548137656471307,1.0,Temporal (2717); Parietal (1644); Frontal (1187); Cerebellum (1130); Orbitofrontal (807); Occipital (525),count_matched
