roi_name,Standard GLM positive z,GLMsingle Type A positive z,GLMsingle Type D positive z,Optimization p80,Optimization p90
Amygdala,0.0,0.0,0.00016101763143064167,0.008380952380952381,0.011970834693655457
Caudate,0.0,0.0006124870803506489,0.00024152644714596247,0.024653061224489795,0.023615192077483946
Cerebellum,0.25710165195350054,0.20667610917582208,0.16488205458497707,0.10927891156462585,0.07171618239199043
Cingulate,0.04064330041080325,0.03468208092485549,0.02922470010466146,0.007891156462585034,0.004353030797692893
Frontal,0.05711913294292457,0.06748842016613713,0.0680299492794461,0.0931156462585034,0.10109914027641746
Fusiform,0.044795035399003584,0.02530337250698618,0.024635697608888174,0.04021768707482993,0.03787136793992817
Hippocampus,0.0025784459400402062,0.00034452398269724,0.0009661057885838499,0.019374149659863945,0.018826858200021765
Insula,0.03526789616292282,0.03510316579259656,0.029949279446099347,0.0024489795918367346,0.0015235607791925128
N_Acc,0.0,3.8280442521915554e-05,0.00024152644714596247,0.0029387755102040815,0.0015235607791925128
Occipital,0.1473647408443318,0.15687325345480993,0.19193301666532486,0.057850340136054425,0.03188595059310045
Olfactory,0.0,0.00030624354017532443,0.0005635617100072458,0.00745578231292517,0.004897159647404506
Orbitofrontal,0.0008303469976400664,0.0011866937181793822,0.003300861444328154,0.057850340136054425,0.07030144738274023
Pallidum,0.0002185123678000175,0.0005359261953068177,0.00024152644714596247,0.0008707482993197279,0.0005441288497116117
ParaHippocampal,0.0006555371034000524,0.0,0.0004025440785766041,0.031945578231292515,0.04875394493416041
Paracentral_Lobule,0.005200594353640416,0.009646671515522719,0.007889863940101442,0.01491156462585034,0.02056807051909892
Parietal,0.13552137050957083,0.12046855261646824,0.14966588841478143,0.13327891156462585,0.12427902927413212
Postcentral,0.055589546368324444,0.05550664165677755,0.06022059415505998,0.030149659863945577,0.02687996517575362
Precentral,0.017699501791801416,0.06748842016613713,0.06714435230657757,0.03145578231292517,0.03819784524975514
Putamen,0.01603880779652128,0.011905217624315737,0.010305128411561067,0.01785034013605442,0.01675916857111764
Raphe,0.0,3.8280442521915554e-05,0.0,0.00010884353741496599,0.0
Rolandic_Oper,0.012018180229000962,0.014048922405543007,0.007970372755816761,0.0019047619047619048,0.0009794319294809011
SN_pc,0.0,3.8280442521915554e-05,8.050881571532083e-05,0.0,0.0
SN_pr,4.37024735600035e-05,0.0,0.0,0.0,0.0
Supp_Motor_Area,0.0019666113102001573,0.04226160854419477,0.03767812575477015,0.02960544217687075,0.034606594841658504
Temporal,0.08836640153832707,0.06140182980515255,0.07761049834956928,0.19929251700680273,0.23941669387310915
Thalamus,0.004938379512280395,0.012211461164491061,0.006923758151517591,0.009469387755102041,0.004679508107519861
VTA,0.0,3.8280442521915554e-05,0.0,0.0,0.0
