method,mask_name,family,threshold_definition,threshold_value,roi_name,hemisphere,n_voxels,percent_of_map,percent_of_assigned_map,atlas_region_voxels,percent_of_atlas_region,present_for_report,mean_map_value,min_map_value,max_map_value,mean_abs_value,peak_abs_value,x_mm,y_mm,z_mm,source
Standard GLM,Standard GLM positive z,positive_z,z >= 3.1,3.1,Unassigned Active Voxels,NA,1740,0.07604230399440608,,,,False,3.976613538429655,3.420161247253418,6.518466949462891,3.976613538429655,6.518466949462891,3.328735632183908,-31.33103448275862,7.4655172413793105,Outside atlas labels
Standard GLM,Standard GLM positive z,positive_z,z >= 3.1,3.1,Precentral,Bilateral,405,0.017699501791801416,0.01915618200737868,2519.0,0.16077808654227868,True,3.6711245742844945,3.4509835243225098,4.538788795471191,3.6711245742844945,4.538788795471191,12.676543209876543,-7.466666666666667,43.55555555555556,AAL3v2 (AAL3v1.nii)
Standard GLM,Standard GLM positive z,positive_z,z >= 3.1,3.1,Frontal,Bilateral,1307,0.05711913294292457,0.06182007378677514,14370.0,0.09095337508698678,True,3.9733546281827707,3.4447927474975586,7.478701591491699,3.9733546281827707,7.478701591491699,36.151491966335115,29.583779648048967,15.655700076511094,AAL3v2 (AAL3v1.nii)
Standard GLM,Standard GLM positive z,positive_z,z >= 3.1,3.1,Rolandic_Oper,Bilateral,275,0.012018180229000962,0.013007284079084287,1040.0,0.2644230769230769,True,3.717260515906594,3.4505884647369385,5.511471271514893,3.717260515906594,5.511471271514893,8.0,-15.585454545454546,15.527272727272727,AAL3v2 (AAL3v1.nii)
Standard GLM,Standard GLM positive z,positive_z,z >= 3.1,3.1,Supp_Motor_Area,Bilateral,45,0.0019666113102001573,0.0021284646674865197,1802.0,0.024972253052164262,True,3.6353835688696967,3.446636915206909,4.493741035461426,3.6353835688696967,4.493741035461426,5.2,-7.4222222222222225,64.88888888888889,AAL3v2 (AAL3v1.nii)
Standard GLM,Standard GLM positive z,positive_z,z >= 3.1,3.1,Orbitofrontal,Bilateral,19,0.0008303469976400664,0.0008986850818276416,2374.0,0.008003369839932602,False,3.866152989236932,3.4707415103912354,4.525287628173828,3.866152989236932,4.525287628173828,43.78947368421053,45.473684210526315,-14.421052631578947,AAL3v2 (AAL3v1.nii)
Standard GLM,Standard GLM positive z,positive_z,z >= 3.1,3.1,Insula,Bilateral,807,0.03526789616292282,0.038170466370258255,1663.0,0.48526758869512926,True,4.133653898073691,3.437943458557129,6.417240619659424,4.133653898073691,6.417240619659424,-2.1759603469640645,2.1462205700123915,0.2057001239157373,AAL3v2 (AAL3v1.nii)
Standard GLM,Standard GLM positive z,positive_z,z >= 3.1,3.1,Cingulate,Bilateral,930,0.04064330041080325,0.04398826979472141,2913.0,0.3192584963954686,True,3.860084891575639,3.4531569480895996,6.522220611572266,3.860084891575639,6.522220611572266,2.3419354838709676,-5.883870967741935,34.696774193548386,AAL3v2 (AAL3v1.nii)
Standard GLM,Standard GLM positive z,positive_z,z >= 3.1,3.1,Hippocampus,Bilateral,59,0.0025784459400402062,0.0027906536751489924,1183.0,0.049873203719357564,True,3.5813412221811585,3.440577745437622,4.5137619972229,3.5813412221811585,4.5137619972229,4.101694915254237,-24.88135593220339,-9.627118644067796,AAL3v2 (AAL3v1.nii)
Standard GLM,Standard GLM positive z,positive_z,z >= 3.1,3.1,ParaHippocampal,Bilateral,15,0.0006555371034000524,0.0007094882224955066,1140.0,0.013157894736842105,False,3.4788115501403807,3.4446611404418945,3.514604091644287,3.4788115501403807,3.514604091644287,29.733333333333334,-35.46666666666667,-13.333333333333334,AAL3v2 (AAL3v1.nii)
