method,mask_name,family,threshold_definition,threshold_value,n_voxels,n_unassigned_voxels,atlas_assigned_fraction,n_components,largest_component_voxels,n_reportable_regions,top_regions_by_voxels
Standard GLM,Standard GLM positive z,positive_z,z >= 3.1,3.1,22882,1740,0.923957696005594,522,8065,16,Cerebellum (5883); Occipital (3372); Parietal (3101); Temporal (2022); Frontal (1307); Postcentral (1272); Fusiform (1025); Cingulate (930)
Standard GLM,Standard GLM negative z,negative_z,z <= -3.1,-3.1,0,0,,0,0,0,
Standard GLM,Standard GLM absolute z,absolute_z,|z| >= 3.1,3.1,22882,1740,0.923957696005594,522,8065,16,Cerebellum (5883); Occipital (3372); Parietal (3101); Temporal (2022); Frontal (1307); Postcentral (1272); Fusiform (1025); Cingulate (930)
GLMsingle Type A,GLMsingle Type A positive z,positive_z,z >= 1.96,1.96,26123,1980,0.9242047238066072,357,11002,16,Cerebellum (5399); Occipital (4098); Parietal (3147); Precentral (1763); Frontal (1763); Temporal (1604); Postcentral (1450); Supp_Motor_Area (1104)
GLMsingle Type A,GLMsingle Type A negative z,negative_z,z <= -1.96,-1.96,20541,717,0.965094201840222,403,3979,15,Frontal (6414); Temporal (5080); Parietal (2781); Occipital (1840); Cerebellum (1244); Cingulate (624); Orbitofrontal (470); ParaHippocampal (411)
GLMsingle Type A,GLMsingle Type A absolute z,absolute_z,|z| >= 1.96,1.96,46664,2697,0.9422038402194411,760,11002,20,Frontal (8177); Temporal (6684); Cerebellum (6643); Occipital (5938); Parietal (5928); Precentral (1785); Cingulate (1530); Postcentral (1515)
GLMsingle Type D,GLMsingle Type D positive z,positive_z,z >= 1.96,1.96,12421,742,0.940262458739232,1714,1825,16,Occipital (2384); Cerebellum (2048); Parietal (1859); Temporal (964); Frontal (845); Precentral (834); Postcentral (748); Supp_Motor_Area (468)
GLMsingle Type D,GLMsingle Type D negative z,negative_z,z <= -1.96,-1.96,6407,245,0.9617605743717809,1649,581,13,Temporal (2051); Frontal (1315); Parietal (1113); Occipital (619); Cerebellum (350); Cingulate (175); ParaHippocampal (102); Hippocampus (89)
GLMsingle Type D,GLMsingle Type D absolute z,absolute_z,|z| >= 1.96,1.96,18828,987,0.9475780752071383,3363,1825,20,Temporal (3015); Occipital (3003); Parietal (2972); Cerebellum (2398); Frontal (2160); Precentral (840); Postcentral (758); Cingulate (538)
Optimization weights,Optimization p80,weight_percentile,top 20% of nonzero weights,0.0002701661694892721,18375,1244,0.9322993197278912,902,2098,22,Temporal (3662); Parietal (2449); Cerebellum (2008); Frontal (1711); Occipital (1063); Orbitofrontal (1063); Fusiform (739); ParaHippocampal (587)
Optimization weights,Optimization p90,weight_percentile,top 10% of nonzero weights,0.00035733996281983593,9189,595,0.9352486668843182,625,780,19,Temporal (2200); Parietal (1142); Frontal (929); Cerebellum (659); Orbitofrontal (646); ParaHippocampal (448); Precentral (351); Fusiform (348)
Optimization weights,Optimization matched to Standard GLM positive z,weight_matched_positive_z,"top 22,882 weights; voxel-count matched to Standard GLM positive z",0.00023998199608321613,22882,1643,0.9281968359409143,1046,2348,22,Temporal (4385); Parietal (3040); Cerebellum (2666); Frontal (2181); Occipital (1460); Orbitofrontal (1222); Fusiform (918); Postcentral (697)
Optimization weights,Optimization matched to Standard GLM absolute z,weight_matched_absolute_z,"top 22,882 weights; voxel-count matched to Standard GLM absolute z",0.00023998199608321613,22882,1643,0.9281968359409143,1046,2348,22,Temporal (4385); Parietal (3040); Cerebellum (2666); Frontal (2181); Occipital (1460); Orbitofrontal (1222); Fusiform (918); Postcentral (697)
Optimization weights,Optimization matched to GLMsingle Type A positive z,weight_matched_positive_z,"top 26,123 weights; voxel-count matched to GLMsingle Type A positive z",0.00022117462961901424,26123,1926,0.9262718677027907,1081,2613,23,Temporal (4890); Parietal (3423); Cerebellum (3159); Frontal (2545); Occipital (1781); Orbitofrontal (1298); Fusiform (1055); Postcentral (808)
Optimization weights,Optimization matched to GLMsingle Type A absolute z,weight_matched_absolute_z,"top 46,664 weights; voxel-count matched to GLMsingle Type A absolute z",0.0001327206155536942,46664,3595,0.9229598834219098,1336,20614,23,Temporal (7794); Cerebellum (6342); Parietal (5585); Frontal (5402); Occipital (3987); Orbitofrontal (1718); Fusiform (1699); Postcentral (1508)
Optimization weights,Optimization matched to GLMsingle Type D positive z,weight_matched_positive_z,"top 12,421 weights; voxel-count matched to GLMsingle Type D positive z",0.0003198704095623839,12421,787,0.9366395620320425,753,904,19,Temporal (2717); Parietal (1644); Frontal (1187); Cerebellum (1130); Orbitofrontal (807); Occipital (525); ParaHippocampal (514); Fusiform (471)
Optimization weights,Optimization matched to GLMsingle Type D absolute z,weight_matched_absolute_z,"top 18,828 weights; voxel-count matched to GLMsingle Type D absolute z",0.0002669062259688104,18828,1290,0.931485022307202,912,2120,22,Temporal (3720); Parietal (2509); Cerebellum (2068); Frontal (1760); Occipital (1101); Orbitofrontal (1083); Fusiform (765); ParaHippocampal (597)
