subject,network,label,subject_median_variability
sub-pd001,Task activation,standard_glm_zgte3.1,0.0021013104120557774
sub-pd002,Task activation,standard_glm_zgte3.1,0.0029679501216263015
sub-pd003,Task activation,standard_glm_zgte3.1,0.0038351036599646427
sub-pd004,Task activation,standard_glm_zgte3.1,0.0019778887299317476
sub-pd007,Task activation,standard_glm_zgte3.1,0.003340686660795966
sub-pd009,Task activation,standard_glm_zgte3.1,0.002177781038051041
sub-pd010,Task activation,standard_glm_zgte3.1,0.003834759275846212
sub-pd011,Task activation,standard_glm_zgte3.1,0.0018898363663162566
sub-pd012,Task activation,standard_glm_zgte3.1,0.0018710523643902853
sub-pd013,Task activation,standard_glm_zgte3.1,0.002394343065565165
sub-pd014,Task activation,standard_glm_zgte3.1,0.0013334606093611957
sub-pd015,Task activation,standard_glm_zgte3.1,0.0023409943552925045
sub-pd017,Task activation,standard_glm_zgte3.1,0.0015206874935906661
sub-pd018,Task activation,standard_glm_zgte3.1,0.0023297705953539034
sub-pd020,Task activation,standard_glm_zgte3.1,0.003333072036026233
sub-pd023,Task activation,standard_glm_zgte3.1,0.00199210538664372
sub-pd024,Task activation,standard_glm_zgte3.1,0.003567481218343225
sub-pd028,Task activation,standard_glm_zgte3.1,0.004435978595067506
sub-pd001,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.001720893355000622
sub-pd002,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.0028283749271756
sub-pd003,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.003819552027854971
sub-pd004,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.0014386919830273342
sub-pd007,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.006186963103742808
sub-pd009,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.0008487520168760684
sub-pd010,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.004417266184193951
sub-pd011,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.001977148046433666
sub-pd012,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.0012940971304711008
sub-pd013,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.0016835149776911421
sub-pd014,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.0006695065775742918
sub-pd015,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.0017113438645742119
sub-pd017,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.0021396233485719684
sub-pd018,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.0014354307795407173
sub-pd020,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.0013394939602402642
sub-pd023,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.0015957549941521675
sub-pd024,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.002847222399573979
sub-pd028,Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,0.004342421501465092
sub-pd001,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0009695820342019114
sub-pd002,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.001960213573036346
sub-pd003,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0019267292617400817
sub-pd004,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0010553590653972944
sub-pd007,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0005998890909078086
sub-pd009,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0005659191849805945
sub-pd010,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0041519682133642904
sub-pd011,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0017430147029736812
sub-pd012,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0010124147148950552
sub-pd013,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.000741166911487179
sub-pd014,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0004994074087234621
sub-pd015,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0004052771091174765
sub-pd017,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0009880263410602464
sub-pd018,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0015614328562816699
sub-pd020,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0009842619877006731
sub-pd023,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.00039818609113074994
sub-pd024,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0017271281828670825
sub-pd028,Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,0.0025999559563201547
